x-axis,1,3,MATH
second,Volt,Volt,Volt
+24.458000E-06,-593.750000000E-03,+17.968750000000E+00,+279.346883297E-03
+24.459000E-06,-750.000000000E-03,+17.968750000000E+00,+435.596883297E-03
+24.460000E-06,-671.875000000E-03,+18.046875000000E+00,+279.346883297E-03
+24.461000E-06,-671.875000000E-03,+17.968750000000E+00,+357.471883297E-03
+24.462000E-06,-750.000000000E-03,+17.968750000000E+00,+357.471883297E-03
+24.463000E-06,-750.000000000E-03,+17.812500000001E+00,+435.596883297E-03
+24.464000E-06,-750.000000000E-03,+17.890625000000E+00,+357.471883297E-03
+24.465000E-06,-593.750000001E-03,+17.968750000000E+00,+357.471883297E-03
+24.466000E-06,-593.750000000E-03,+17.968750000000E+00,+279.346883298E-03
+24.467000E-06,-671.874999999E-03,+17.812500000001E+00,+279.346883297E-03
+24.468000E-06,-671.875000000E-03,+17.968749999998E+00,+357.471883296E-03
+24.469000E-06,-671.875000000E-03,+17.812500000002E+00,+279.346883298E-03
+24.470000E-06,-671.875000000E-03,+17.812500000000E+00,+279.346883297E-03
+24.471000E-06,-671.875000000E-03,+17.812500000000E+00,+357.471883296E-03
+24.472000E-06,-671.875000000E-03,+17.890624999999E+00,+201.221883299E-03
+24.473000E-06,-671.875000000E-03,+17.890625000000E+00,+435.596883293E-03
+24.474000E-06,-671.875000000E-03,+17.968749999999E+00,+357.471883298E-03
+24.475000E-06,-749.999999999E-03,+17.812500000003E+00,+513.721883294E-03
+24.476000E-06,-593.750000003E-03,+17.890624999998E+00,+357.471883300E-03
+24.477000E-06,-515.625000002E-03,+17.968749999998E+00,+201.221883300E-03
+24.478000E-06,-671.874999997E-03,+17.890625000002E+00,+279.346883295E-03
+24.479000E-06,-749.999999998E-03,+17.812500000002E+00,+357.471883295E-03
+24.480000E-06,-750.000000000E-03,+17.890624999998E+00,+357.471883297E-03
+24.481000E-06,-671.875000002E-03,+17.890625000000E+00,+357.471883297E-03
+24.482000E-06,-593.750000002E-03,+17.968749999998E+00,+201.221883301E-03
+24.483000E-06,-593.750000000E-03,+17.890625000002E+00,+279.346883295E-03
+24.484000E-06,-593.750000000E-03,+17.968749999998E+00,+201.221883299E-03
+24.485000E-06,-515.625000002E-03,+17.968750000000E+00,+279.346883295E-03
+24.486000E-06,-593.749999998E-03,+17.890625000003E+00,+201.221883299E-03
+24.487000E-06,-671.874999997E-03,+17.890625000000E+00,+357.471883292E-03
+24.488000E-06,-749.999999997E-03,+17.968749999997E+00,+435.596883294E-03
+24.489000E-06,-593.750000006E-03,+17.890625000003E+00,+435.596883297E-03
+24.490000E-06,-593.750000000E-03,+17.968749999997E+00,+279.346883303E-03
+24.491000E-06,-671.874999997E-03,+17.968750000000E+00,+201.221883300E-03
+24.492000E-06,-593.750000003E-03,+17.968750000000E+00,+201.221883297E-03
+24.493000E-06,-515.625000003E-03,+17.968750000000E+00,+123.096883300E-03
+24.494000E-06,-671.874999994E-03,+17.968750000000E+00,+201.221883294E-03
+24.495000E-06,-749.999999997E-03,+17.812500000007E+00,+357.471883290E-03
+24.496000E-06,-593.750000007E-03,+18.046874999990E+00,+201.221883304E-03
+24.497000E-06,-593.750000000E-03,+17.890625000007E+00,+357.471883290E-03
+24.498000E-06,-593.750000000E-03,+17.890625000000E+00,+279.346883301E-03
+24.499000E-06,-671.874999996E-03,+17.890625000000E+00,+357.471883293E-03
+24.500000E-06,-749.999999996E-03,+17.968749999996E+00,+435.596883293E-03
+24.501000E-06,-593.750000008E-03,+17.890625000004E+00,+357.471883301E-03
+24.502000E-06,-671.874999996E-03,+17.890625000000E+00,+357.471883297E-03
+24.503000E-06,-671.875000000E-03,+17.812500000004E+00,+357.471883297E-03
+24.504000E-06,-749.999999996E-03,+17.968749999992E+00,+513.721883289E-03
+24.505000E-06,-593.750000009E-03,+18.046874999996E+00,+435.596883301E-03
+24.506000E-06,-515.625000004E-03,+18.046875000000E+00,+201.221883310E-03
+24.507000E-06,-671.874999991E-03,+17.890625000009E+00,+357.471883288E-03
+24.508000E-06,-515.625000009E-03,+17.968749999995E+00,+201.221883306E-03
+24.509000E-06,-515.625000000E-03,+17.890625000005E+00,+201.221883297E-03
+24.510000E-06,-749.999999986E-03,+17.968749999995E+00,+279.346883292E-03
+24.511000E-06,-671.875000005E-03,+17.812500000010E+00,+357.471883292E-03
+24.512000E-06,-749.999999995E-03,+17.812500000000E+00,+435.596883292E-03
+24.513000E-06,-671.875000005E-03,+17.812500000000E+00,+357.471883302E-03
