x-axis,3,MATH
second,Volt,Volt
-7.15000E-06,+14.57109451294E+00,+89.25781435E-03
-7.13000E-06,+14.56328201294E+00,+88.08593937E-03
-7.11000E-06,+14.56035232544E+00,+87.50000189E-03
-7.09000E-06,+14.56035232544E+00,+86.91406440E-03
-7.07000E-06,+14.55937576294E+00,+88.67187686E-03
-7.05000E-06,+14.56035232544E+00,+90.62500182E-03
-7.03000E-06,+14.56035232544E+00,+89.06250185E-03
-7.01000E-06,+14.55839920044E+00,+87.69531438E-03
-6.99000E-06,+14.55644607544E+00,+86.71875190E-03
-6.97000E-06,+14.55742263794E+00,+86.71875190E-03
-6.95000E-06,+14.55742263794E+00,+87.50000189E-03
-6.93000E-06,+14.55546951294E+00,+87.89062688E-03
-6.91000E-06,+14.55546951294E+00,+88.28125187E-03
-6.89000E-06,+14.55449295044E+00,+88.86718936E-03
-6.87000E-06,+14.55546951294E+00,+89.45312684E-03
-6.85000E-06,+14.55644607544E+00,+87.69531438E-03
-6.83000E-06,+14.55546951294E+00,+86.71875190E-03
-6.81000E-06,+14.55253982544E+00,+87.89062688E-03
-6.79000E-06,+14.55058670044E+00,+89.25781435E-03
-6.77000E-06,+14.55156326294E+00,+90.62500182E-03
-6.75000E-06,+14.55253982544E+00,+88.67187686E-03
-6.73000E-06,+14.55253982544E+00,+89.06250185E-03
-6.71000E-06,+14.54765701294E+00,+89.64843934E-03
-6.69000E-06,+14.54375076294E+00,+86.91406440E-03
-6.67000E-06,+14.54668045044E+00,+89.64843934E-03
-6.65000E-06,+14.55058670044E+00,+89.84375183E-03
-6.63000E-06,+14.54961013794E+00,+88.47656436E-03
-6.61000E-06,+14.54570388794E+00,+89.25781435E-03
-6.59000E-06,+14.54375076294E+00,+87.50000189E-03
-6.57000E-06,+14.54570388794E+00,+87.69531438E-03
-6.55000E-06,+14.54570388794E+00,+89.64843934E-03
-6.53000E-06,+14.54082107544E+00,+89.45312684E-03
-6.51000E-06,+14.54082107544E+00,+88.47656436E-03
-6.49000E-06,+14.54472732544E+00,+88.28125187E-03
-6.47000E-06,+14.54277420044E+00,+90.42968932E-03
-6.45000E-06,+14.54082107544E+00,+90.62500182E-03
-6.43000E-06,+14.53984451294E+00,+87.50000189E-03
-6.41000E-06,+14.53886795044E+00,+88.08593937E-03
-6.39000E-06,+14.54179763794E+00,+88.47656436E-03
-6.37000E-06,+14.54179763794E+00,+89.45312684E-03
-6.35000E-06,+14.53789138794E+00,+89.45312684E-03
-6.33000E-06,+14.53593826294E+00,+86.32812691E-03
-6.31000E-06,+14.53593826294E+00,+88.47656436E-03
-6.29000E-06,+14.53789138794E+00,+93.16406426E-03
-6.27000E-06,+14.53789138794E+00,+89.64843934E-03
-6.25000E-06,+14.53203201294E+00,+85.15625194E-03
-6.23000E-06,+14.52910232544E+00,+86.71875190E-03
-6.21000E-06,+14.53203201294E+00,+89.64843934E-03
-6.19000E-06,+14.53398513794E+00,+91.99218929E-03
-6.17000E-06,+14.53398513794E+00,+90.62500182E-03
-6.15000E-06,+14.53300857544E+00,+87.69531438E-03
-6.13000E-06,+14.53203201294E+00,+87.89062688E-03
-6.11000E-06,+14.53105545044E+00,+89.64843934E-03
-6.09000E-06,+14.53105545044E+00,+90.03906433E-03
-6.07000E-06,+14.53203201294E+00,+89.25781435E-03
-6.05000E-06,+14.53007888794E+00,+91.01562681E-03
-6.03000E-06,+14.52812576294E+00,+92.38281428E-03
-6.01000E-06,+14.52812576294E+00,+90.42968932E-03
-5.99000E-06,+14.52910232544E+00,+88.86718936E-03
-5.97000E-06,+14.52714920044E+00,+88.86718936E-03
-5.95000E-06,+14.52324295044E+00,+89.64843934E-03
-5.93000E-06,+14.52324295044E+00,+92.57812677E-03
-5.91000E-06,+14.52324295044E+00,+91.79687679E-03
-5.89000E-06,+14.52324295044E+00,+89.45312684E-03
-5.87000E-06,+14.52128982544E+00,+90.03906433E-03
-5.85000E-06,+14.52031326294E+00,+87.69531438E-03
-5.83000E-06,+14.52031326294E+00,+87.69531438E-03
-5.81000E-06,+14.51933670044E+00,+88.67187686E-03
-5.79000E-06,+14.52226638794E+00,+89.45312684E-03
-5.77000E-06,+14.52226638794E+00,+91.79687679E-03
-5.75000E-06,+14.51933670044E+00,+89.25781435E-03
-5.73000E-06,+14.51640701294E+00,+86.32812691E-03
-5.71000E-06,+14.51836013794E+00,+88.28125187E-03
-5.69000E-06,+14.52031326294E+00,+89.64843934E-03
-5.67000E-06,+14.51640701294E+00,+88.67187686E-03
