x-axis,3,MATH
second,Volt,Volt
+8.95000E-06,+14.92421836330E+00,-28.90625416E-03
+9.00000E-06,+14.93164023841E+00,-42.57812936E-03
+9.05000E-06,+14.93554648847E+00,-46.48437942E-03
+9.10000E-06,+14.93085898840E+00,-38.67187930E-03
+9.15000E-06,+14.92812461336E+00,-40.62500433E-03
+9.20000E-06,+14.92734336335E+00,-40.62500433E-03
+9.25000E-06,+14.92460898831E+00,-44.53125439E-03
+9.30000E-06,+14.92265586328E+00,-36.71875427E-03
+9.35000E-06,+14.91953086323E+00,-36.71875427E-03
+9.40000E-06,+14.91601523818E+00,-34.76562924E-03
+9.45000E-06,+14.91406211315E+00,-36.71875427E-03
+9.50000E-06,+14.91249961313E+00,-30.85937919E-03
+9.55000E-06,+14.91054648810E+00,-34.76562924E-03
+9.60000E-06,+14.90976523809E+00,-28.90625416E-03
+9.65000E-06,+14.90742148805E+00,-32.81250421E-03
+9.70000E-06,+14.90703086305E+00,-34.76562924E-03
+9.75000E-06,+14.90351523799E+00,-34.76562924E-03
+9.80000E-06,+14.90273398798E+00,-28.90625416E-03
+9.85000E-06,+14.90078086295E+00,-30.85937919E-03
+9.90000E-06,+14.89882773792E+00,-30.85937919E-03
+9.95000E-06,+14.89843711292E+00,-26.95312913E-03
+10.00000E-06,+14.89648398789E+00,-30.85937919E-03
+10.05000E-06,+14.89492148787E+00,-23.04687907E-03
+10.10000E-06,+14.89296836284E+00,-21.09375404E-03
+10.15000E-06,+14.89257773783E+00,-25.00000410E-03
+10.20000E-06,+14.89023398780E+00,-26.95312913E-03
+10.25000E-06,+14.89062461280E+00,-26.95312913E-03
+10.30000E-06,+14.88749961276E+00,-25.00000410E-03
+10.35000E-06,+14.88749961276E+00,-23.04687907E-03
+10.40000E-06,+14.88476523772E+00,-21.09375404E-03
+10.45000E-06,+14.88437461271E+00,-25.00000410E-03
+10.50000E-06,+14.88203086267E+00,-21.09375404E-03
+10.55000E-06,+14.88242148768E+00,-26.95312913E-03
+10.60000E-06,+14.87929648763E+00,-21.09375404E-03
+10.65000E-06,+14.87890586263E+00,-25.00000410E-03
+10.70000E-06,+14.87968711264E+00,-23.04687907E-03
+10.75000E-06,+14.87421836256E+00,-23.04687907E-03
+10.80000E-06,+14.87812461262E+00,-21.09375404E-03
+10.85000E-06,+14.87421836256E+00,-21.09375404E-03
+10.90000E-06,+14.87343711255E+00,-15.23437895E-03
+10.95000E-06,+14.87226523753E+00,-21.09375404E-03
+11.00000E-06,+14.86992148749E+00,-19.14062901E-03
+11.05000E-06,+14.87148398752E+00,-19.14062901E-03
+11.10000E-06,+14.86835898747E+00,-19.14062901E-03
+11.15000E-06,+14.86757773746E+00,-17.18750398E-03
+11.20000E-06,+14.86562461243E+00,-17.18750398E-03
+11.25000E-06,+14.86718711245E+00,-17.18750398E-03
+11.30000E-06,+14.86367148740E+00,-21.09375404E-03
+11.35000E-06,+14.86406211241E+00,-23.04687907E-03
+11.40000E-06,+14.86249961238E+00,-19.14062901E-03
+11.45000E-06,+14.85976523734E+00,-21.09375404E-03
+11.50000E-06,+14.86171836237E+00,-21.09375404E-03
+11.55000E-06,+14.85781211231E+00,-19.14062901E-03
+11.60000E-06,+14.85937461234E+00,-15.23437895E-03
+11.65000E-06,+14.85664023730E+00,-25.00000410E-03
+11.70000E-06,+14.85624961229E+00,-17.18750398E-03
+11.75000E-06,+14.85390586226E+00,-23.04687907E-03
+11.80000E-06,+14.85351523725E+00,-15.23437895E-03
+11.85000E-06,+14.85273398724E+00,-21.09375404E-03
+11.90000E-06,+14.85195273723E+00,-21.09375404E-03
+11.95000E-06,+14.84960898719E+00,-19.14062901E-03
+12.00000E-06,+14.85156211222E+00,-21.09375404E-03
+12.05000E-06,+14.84687461215E+00,-21.09375404E-03
+12.10000E-06,+14.84804648717E+00,-19.14062901E-03
+12.15000E-06,+14.84570273713E+00,-15.23437895E-03
+12.20000E-06,+14.84531211213E+00,-21.09375404E-03
+12.25000E-06,+14.84531211213E+00,-15.23437895E-03
+12.30000E-06,+14.84335898710E+00,-23.04687907E-03
+12.35000E-06,+14.84257773709E+00,-21.09375404E-03
+12.40000E-06,+14.84101523706E+00,-17.18750398E-03
+12.45000E-06,+14.84101523706E+00,-17.18750398E-03
+12.50000E-06,+14.83906211203E+00,-17.18750398E-03
+12.55000E-06,+14.83945273704E+00,-19.14062901E-03
+12.60000E-06,+14.83710898701E+00,-19.14062901E-03
+12.65000E-06,+14.83671836200E+00,-19.14062901E-03
+12.70000E-06,+14.83671836200E+00,-17.18750398E-03
+12.75000E-06,+14.83398398696E+00,-23.04687907E-03
+12.80000E-06,+14.83476523697E+00,-17.18750398E-03
+12.85000E-06,+14.83320273695E+00,-19.14062901E-03
+12.90000E-06,+14.83203086193E+00,-13.28125392E-03
+12.95000E-06,+14.83046836191E+00,-21.09375404E-03
+13.00000E-06,+14.83046836191E+00,-19.14062901E-03
+13.05000E-06,+14.82890586188E+00,-21.09375404E-03
+13.10000E-06,+14.82773398687E+00,-15.23437895E-03
+13.15000E-06,+14.82656211185E+00,-21.09375404E-03
+13.20000E-06,+14.82656211185E+00,-19.14062901E-03
+13.25000E-06,+14.82539023683E+00,-13.28125392E-03
+13.30000E-06,+14.82499961182E+00,-13.28125392E-03
+13.35000E-06,+14.82226523678E+00,-15.23437895E-03
+13.40000E-06,+14.82265586179E+00,-13.28125392E-03
+13.45000E-06,+14.82070273676E+00,-17.18750398E-03
+13.50000E-06,+14.82148398677E+00,-15.23437895E-03
+13.55000E-06,+14.81874961173E+00,-15.23437895E-03
+13.60000E-06,+14.81874961173E+00,-17.18750398E-03
+13.65000E-06,+14.81757773671E+00,-21.09375404E-03
+13.70000E-06,+14.81757773671E+00,-15.23437895E-03
+13.75000E-06,+14.81562461169E+00,-19.14062901E-03
+13.80000E-06,+14.81484336167E+00,-15.23437895E-03
+13.85000E-06,+14.81406211166E+00,-11.32812889E-03
+13.90000E-06,+14.81367148666E+00,-15.23437895E-03
+13.95000E-06,+14.81132773662E+00,-17.18750398E-03
+14.00000E-06,+14.81171836163E+00,-13.28125392E-03
+14.05000E-06,+14.80898398659E+00,-11.32812889E-03
+14.10000E-06,+14.80859336158E+00,-15.23437895E-03
+14.15000E-06,+14.80703086156E+00,-13.28125392E-03
+14.20000E-06,+14.80781211157E+00,-15.23437895E-03
+14.25000E-06,+14.80703086156E+00,-11.32812889E-03
+14.30000E-06,+14.80546836153E+00,-9.37500386E-03
+14.35000E-06,+14.80468711152E+00,-11.32812889E-03
+14.40000E-06,+14.80390586151E+00,-7.42187884E-03
+14.45000E-06,+14.80351523650E+00,-13.28125392E-03
+14.50000E-06,+14.80078086146E+00,-11.32812889E-03
+14.55000E-06,+14.80195273648E+00,-17.18750398E-03
+14.60000E-06,+14.79999961145E+00,-11.32812889E-03
+14.65000E-06,+14.79999961145E+00,-11.32812889E-03
+14.70000E-06,+14.79804648642E+00,-17.18750398E-03
