x-axis,1,3,MATH
second,Volt,Volt,Volt
+34.049000E-06,+18.591250419617E+00,+18.356875419617E+00,-794.921875000E-03
+34.050000E-06,+18.591250419617E+00,+18.435000419617E+00,-794.921875000E-03
+34.051000E-06,+18.591250419617E+00,+18.435000419616E+00,-873.046875000E-03
+34.052000E-06,+18.591250419617E+00,+18.356875419616E+00,-873.046875000E-03
+34.053000E-06,+18.669375419616E+00,+18.278750419617E+00,-873.046874999E-03
+34.054000E-06,+18.591250419617E+00,+18.278750419617E+00,-794.921875001E-03
+34.055000E-06,+18.591250419617E+00,+18.278750419616E+00,-873.046874999E-03
+34.056000E-06,+18.591250419618E+00,+18.200625419618E+00,-794.921875001E-03
+34.057000E-06,+18.669375419615E+00,+18.278750419620E+00,-873.046874999E-03
+34.058000E-06,+18.591250419618E+00,+18.435000419615E+00,-794.921875002E-03
+34.059000E-06,+18.669375419617E+00,+18.356875419617E+00,-873.046874998E-03
+34.060000E-06,+18.669375419617E+00,+18.356875419617E+00,-794.921875000E-03
+34.061000E-06,+18.669375419615E+00,+18.356875419615E+00,-794.921875000E-03
+34.062000E-06,+18.591250419617E+00,+18.278750419617E+00,-794.921875000E-03
+34.063000E-06,+18.591250419617E+00,+18.278750419614E+00,-794.921875000E-03
+34.064000E-06,+18.591250419617E+00,+18.200625419622E+00,-794.921875003E-03
+34.065000E-06,+18.591250419617E+00,+18.356875419620E+00,-873.046874997E-03
+34.066000E-06,+18.591250419620E+00,+18.435000419614E+00,-794.921875003E-03
+34.067000E-06,+18.669375419614E+00,+18.356875419614E+00,-873.046874994E-03
+34.068000E-06,+18.591250419623E+00,+18.278750419617E+00,-716.796875014E-03
+34.069000E-06,+18.747500419610E+00,+18.278750419617E+00,-1.029296874993E+00
+34.070000E-06,+18.591250419620E+00,+18.278750419617E+00,-873.046874996E-03
+34.071000E-06,+18.669375419617E+00,+18.278750419613E+00,-794.921875004E-03
+34.072000E-06,+18.669375419613E+00,+18.200625419625E+00,-873.046874996E-03
+34.073000E-06,+18.591250419621E+00,+18.356875419617E+00,-794.921875008E-03
+34.074000E-06,+18.669375419612E+00,+18.356875419612E+00,-951.171874996E-03
+34.075000E-06,+18.591250419617E+00,+18.278750419617E+00,-873.046874995E-03
+34.076000E-06,+18.591250419621E+00,+18.278750419617E+00,-794.921875005E-03
+34.077000E-06,+18.669375419617E+00,+18.278750419612E+00,-873.046875000E-03
+34.078000E-06,+18.669375419612E+00,+18.200625419622E+00,-873.046875000E-03
+34.079000E-06,+18.591250419622E+00,+18.278750419622E+00,-873.046875000E-03
+34.080000E-06,+18.669375419611E+00,+18.356875419617E+00,-873.046875000E-03
+34.081000E-06,+18.591250419617E+00,+18.356875419622E+00,-873.046874994E-03
+34.082000E-06,+18.591250419628E+00,+18.435000419611E+00,-794.921875012E-03
+34.083000E-06,+18.747500419605E+00,+18.356875419611E+00,-951.171874988E-03
+34.084000E-06,+18.591250419629E+00,+18.278750419617E+00,-794.921875006E-03
+34.085000E-06,+18.747500419610E+00,+18.278750419617E+00,-873.046874987E-03
+34.086000E-06,+18.669375419617E+00,+18.278750419617E+00,-716.796875000E-03
+34.087000E-06,+18.669375419617E+00,+18.278750419617E+00,-716.796875013E-03
+34.088000E-06,+18.669375419617E+00,+18.278750419610E+00,-873.046875007E-03
+34.089000E-06,+18.669375419610E+00,+18.200625419617E+00,-951.171874993E-03
+34.090000E-06,+18.591250419617E+00,+18.200625419631E+00,-873.046874993E-03
+34.091000E-06,+18.591250419617E+00,+18.356875419617E+00,-794.921875000E-03
+34.092000E-06,+18.591250419624E+00,+18.356875419632E+00,-794.921875000E-03
+34.093000E-06,+18.669375419617E+00,+18.513125419594E+00,-794.921875000E-03
+34.094000E-06,+18.669375419609E+00,+18.278750419617E+00,-794.921874984E-03
+34.095000E-06,+18.591250419625E+00,+18.278750419617E+00,-638.671875016E-03
+34.096000E-06,+18.669375419609E+00,+18.278750419617E+00,-794.921874992E-03
+34.097000E-06,+18.591250419617E+00,+18.278750419617E+00,-716.796875017E-03
+34.098000E-06,+18.591250419625E+00,+18.278750419617E+00,-873.046875009E-03
+34.099000E-06,+18.669375419617E+00,+18.278750419617E+00,-951.171875000E-03
+34.100000E-06,+18.669375419626E+00,+18.278750419626E+00,-951.171874991E-03
+34.101000E-06,+18.747500419617E+00,+18.356875419599E+00,-873.046875009E-03
+34.102000E-06,+18.747500419608E+00,+18.200625419635E+00,-951.171874982E-03
+34.103000E-06,+18.669375419626E+00,+18.356875419598E+00,-794.921875019E-03
+34.104000E-06,+18.747500419598E+00,+18.200625419626E+00,-951.171874981E-03
+34.105000E-06,+18.591250419607E+00,+18.278750419626E+00,-794.921874981E-03
+34.106000E-06,+18.513125419637E+00,+18.356875419617E+00,-638.671875030E-03
+34.107000E-06,+18.669375419597E+00,+18.356875419607E+00,-873.046874970E-03
+34.108000E-06,+18.513125419647E+00,+18.278750419637E+00,-638.671875041E-03
+34.109000E-06,+18.747500419617E+00,+18.435000419596E+00,-951.171875000E-03
+34.110000E-06,+18.747500419617E+00,+18.278750419627E+00,-951.171875000E-03
+34.111000E-06,+18.747500419617E+00,+18.356875419606E+00,-951.171875000E-03
+34.112000E-06,+18.747500419617E+00,+18.278750419617E+00,-951.171874989E-03
+34.113000E-06,+18.747500419606E+00,+18.278750419639E+00,-873.046874989E-03
+34.114000E-06,+18.669375419605E+00,+18.435000419605E+00,-794.921874989E-03
+34.115000E-06,+18.591250419617E+00,+18.356875419605E+00,-716.796875011E-03
+34.116000E-06,+18.591250419628E+00,+18.278750419617E+00,-794.921875000E-03
+34.117000E-06,+18.669375419605E+00,+18.278750419617E+00,-794.921874988E-03
+34.118000E-06,+18.591250419629E+00,+18.278750419641E+00,-716.796875000E-03
+34.119000E-06,+18.669375419617E+00,+18.435000419605E+00,-716.796875012E-03
+34.120000E-06,+18.669375419604E+00,+18.356875419617E+00,-794.921875000E-03
+34.121000E-06,+18.591250419617E+00,+18.356875419629E+00,-794.921875012E-03
+34.122000E-06,+18.591250419629E+00,+18.435000419604E+00,-873.046875000E-03
+34.123000E-06,+18.669375419604E+00,+18.356875419604E+00,-873.046875000E-03
+34.124000E-06,+18.591250419643E+00,+18.278750419643E+00,-873.046875000E-03
+34.125000E-06,+18.747500419617E+00,+18.435000419590E+00,-873.046875026E-03
+34.126000E-06,+18.747500419617E+00,+18.278750419630E+00,-1.029296874987E+00
+34.127000E-06,+18.747500419617E+00,+18.356875419603E+00,-951.171874987E-03
+34.128000E-06,+18.747500419617E+00,+18.278750419617E+00,-873.046875000E-03
+34.129000E-06,+18.747500419603E+00,+18.278750419603E+00,-873.046874986E-03
+34.130000E-06,+18.669375419603E+00,+18.200625419645E+00,-794.921874986E-03
+34.131000E-06,+18.591250419617E+00,+18.356875419603E+00,-716.796875014E-03
+34.132000E-06,+18.591250419631E+00,+18.278750419631E+00,-794.921875000E-03
+34.133000E-06,+18.669375419602E+00,+18.356875419602E+00,-794.921875000E-03
+34.134000E-06,+18.591250419617E+00,+18.278750419661E+00,-794.921874985E-03
+34.135000E-06,+18.591250419646E+00,+18.513125419572E+00,-716.796875045E-03
+34.136000E-06,+18.747500419602E+00,+18.278750419632E+00,-951.171874970E-03
+34.137000E-06,+18.669375419602E+00,+18.356875419602E+00,-794.921875000E-03
+34.138000E-06,+18.591250419617E+00,+18.278750419632E+00,-794.921874985E-03
+34.139000E-06,+18.591250419617E+00,+18.356875419586E+00,-716.796875000E-03
+34.140000E-06,+18.591250419648E+00,+18.200625419648E+00,-716.796875031E-03
+34.141000E-06,+18.747500419601E+00,+18.356875419601E+00,-873.046875000E-03
+34.142000E-06,+18.669375419633E+00,+18.278750419617E+00,-873.046875016E-03
+34.143000E-06,+18.747500419617E+00,+18.278750419617E+00,-951.171875000E-03
+34.144000E-06,+18.747500419617E+00,+18.278750419617E+00,-951.171874984E-03
+34.145000E-06,+18.747500419584E+00,+18.278750419633E+00,-873.046875000E-03
+34.146000E-06,+18.591250419633E+00,+18.356875419617E+00,-873.046875000E-03
+34.147000E-06,+18.669375419617E+00,+18.356875419617E+00,-873.046875000E-03
+34.148000E-06,+18.669375419634E+00,+18.356875419617E+00,-873.046875000E-03
+34.149000E-06,+18.747500419600E+00,+18.356875419617E+00,-873.046875000E-03
+34.150000E-06,+18.669375419634E+00,+18.356875419599E+00,-873.046875000E-03
+34.151000E-06,+18.747500419617E+00,+18.278750419599E+00,-873.046875018E-03
+34.152000E-06,+18.747500419581E+00,+18.200625419652E+00,-951.171874982E-03
+34.153000E-06,+18.591250419617E+00,+18.356875419599E+00,-873.046874964E-03
+34.154000E-06,+18.591250419635E+00,+18.278750419635E+00,-716.796875054E-03
+34.155000E-06,+18.669375419598E+00,+18.356875419598E+00,-951.171874945E-03
+34.156000E-06,+18.591250419635E+00,+18.278750419635E+00,-716.796875055E-03
+34.157000E-06,+18.669375419598E+00,+18.356875419617E+00,-951.171874981E-03
+34.158000E-06,+18.591250419617E+00,+18.356875419617E+00,-873.046874981E-03
+34.159000E-06,+18.591250419636E+00,+18.356875419598E+00,-794.921875019E-03
+34.160000E-06,+18.669375419598E+00,+18.278750419617E+00,-873.046874981E-03
+34.161000E-06,+18.591250419617E+00,+18.278750419617E+00,-794.921875019E-03
+34.162000E-06,+18.591250419636E+00,+18.278750419636E+00,-873.046875019E-03
+34.163000E-06,+18.669375419597E+00,+18.356875419597E+00,-951.171874961E-03
+34.164000E-06,+18.591250419656E+00,+18.278750419637E+00,-794.921875040E-03
+34.165000E-06,+18.747500419597E+00,+18.356875419597E+00,-951.171875000E-03
+34.166000E-06,+18.669375419597E+00,+18.278750419617E+00,-951.171874940E-03
+34.167000E-06,+18.591250419617E+00,+18.278750419596E+00,-716.796875020E-03
+34.168000E-06,+18.591250419617E+00,+18.200625419637E+00,-794.921874979E-03
+34.169000E-06,+18.591250419617E+00,+18.278750419658E+00,-716.796875000E-03
+34.170000E-06,+18.591250419617E+00,+18.435000419596E+00,-716.796875000E-03
+34.171000E-06,+18.591250419617E+00,+18.356875419596E+00,-716.796875000E-03
+34.172000E-06,+18.591250419659E+00,+18.278750419617E+00,-716.796875042E-03
+34.173000E-06,+18.747500419595E+00,+18.278750419595E+00,-873.046875021E-03
+34.174000E-06,+18.669375419617E+00,+18.200625419660E+00,-951.171874957E-03
+34.175000E-06,+18.669375419595E+00,+18.356875419573E+00,-794.921875000E-03
+34.176000E-06,+18.591250419639E+00,+18.200625419639E+00,-794.921875000E-03
+34.177000E-06,+18.669375419595E+00,+18.278750419661E+00,-794.921874978E-03
+34.178000E-06,+18.591250419661E+00,+18.435000419595E+00,-716.796875067E-03
+34.179000E-06,+18.747500419594E+00,+18.356875419594E+00,-951.171874978E-03
+34.180000E-06,+18.669375419617E+00,+18.278750419662E+00,-873.046875000E-03
+34.181000E-06,+18.669375419639E+00,+18.435000419571E+00,-873.046875045E-03
+34.182000E-06,+18.747500419571E+00,+18.278750419640E+00,-1.029296874931E+00
+34.183000E-06,+18.591250419640E+00,+18.356875419617E+00,-794.921875023E-03
+34.184000E-06,+18.669375419640E+00,+18.356875419617E+00,-873.046875023E-03
+34.185000E-06,+18.747500419570E+00,+18.356875419617E+00,-951.171874977E-03
+34.186000E-06,+18.591250419640E+00,+18.356875419617E+00,-873.046875000E-03
+34.187000E-06,+18.669375419593E+00,+18.356875419617E+00,-873.046874976E-03
+34.188000E-06,+18.591250419641E+00,+18.356875419641E+00,-794.921875024E-03
+34.189000E-06,+18.669375419617E+00,+18.435000419569E+00,-873.046875000E-03
+34.190000E-06,+18.669375419641E+00,+18.278750419617E+00,-873.046874976E-03
+34.191000E-06,+18.747500419568E+00,+18.278750419617E+00,-794.921875000E-03
+34.192000E-06,+18.591250419641E+00,+18.278750419617E+00,-794.921875000E-03
+34.193000E-06,+18.669375419592E+00,+18.278750419642E+00,-794.921874975E-03
+34.194000E-06,+18.591250419642E+00,+18.356875419617E+00,-716.796875050E-03
+34.195000E-06,+18.669375419617E+00,+18.356875419592E+00,-873.046874975E-03
+34.196000E-06,+18.669375419617E+00,+18.278750419667E+00,-794.921875000E-03
+34.197000E-06,+18.669375419617E+00,+18.435000419566E+00,-794.921875025E-03
+34.198000E-06,+18.669375419617E+00,+18.278750419668E+00,-873.046874974E-03
+34.199000E-06,+18.669375419643E+00,+18.435000419591E+00,-794.921875052E-03
+34.200000E-06,+18.747500419617E+00,+18.356875419591E+00,-951.171875026E-03
+34.201000E-06,+18.747500419564E+00,+18.278750419643E+00,-1.029296874922E+00
+34.202000E-06,+18.591250419643E+00,+18.356875419617E+00,-794.921875000E-03
+34.203000E-06,+18.669375419617E+00,+18.356875419590E+00,-794.921875026E-03
+34.204000E-06,+18.669375419643E+00,+18.278750419670E+00,-873.046875000E-03
+34.205000E-06,+18.747500419617E+00,+18.435000419590E+00,-873.046875000E-03
+34.206000E-06,+18.747500419617E+00,+18.356875419671E+00,-873.046875027E-03
+34.207000E-06,+18.747500419617E+00,+18.513125419562E+00,-951.171874973E-03
+34.208000E-06,+18.747500419562E+00,+18.356875419589E+00,-873.046874973E-03
+34.209000E-06,+18.591250419617E+00,+18.278750419672E+00,-794.921875028E-03
+34.210000E-06,+18.591250419617E+00,+18.435000419589E+00,-873.046874972E-03
+34.211000E-06,+18.591250419617E+00,+18.356875419589E+00,-794.921875000E-03
+34.212000E-06,+18.591250419645E+00,+18.278750419645E+00,-794.921875056E-03
+34.213000E-06,+18.669375419617E+00,+18.356875419589E+00,-951.171874944E-03
+34.214000E-06,+18.669375419588E+00,+18.278750419617E+00,-794.921874972E-03
+34.215000E-06,+18.591250419645E+00,+18.278750419617E+00,-716.796875057E-03
+34.216000E-06,+18.669375419645E+00,+18.278750419645E+00,-873.046875029E-03
+34.217000E-06,+18.747500419588E+00,+18.356875419646E+00,-951.171875000E-03
+34.218000E-06,+18.669375419646E+00,+18.435000419588E+00,-951.171875000E-03
