x-axis,MATH
second,Volt
-75.4000E-06,+6.1914062500E+00
-75.3000E-06,+6.1523437500E+00
-75.2000E-06,+6.0156250000E+00
-75.1000E-06,+244.1406250E-03
-75.0000E-06,-10.6445312500E+00
-74.9000E-06,-10.6445312500E+00
-74.8000E-06,-10.6054687500E+00
-74.7000E-06,-10.5859375000E+00
-74.6000E-06,-10.5957031250E+00
-74.5000E-06,-10.6054687500E+00
-74.4000E-06,-10.5957031250E+00
-74.3000E-06,-10.5957031250E+00
-74.2000E-06,-10.5761718750E+00
-74.1000E-06,-10.5468750000E+00
-74.0000E-06,-10.5566406250E+00
-73.9000E-06,-10.5175781250E+00
-73.8000E-06,-10.4882812500E+00
-73.7000E-06,-10.4785156250E+00
-73.6000E-06,-10.4785156250E+00
-73.5000E-06,-10.4882812500E+00
-73.4000E-06,-10.4199218750E+00
-73.3000E-06,-10.4101562500E+00
-73.2000E-06,-10.3906250000E+00
-73.1000E-06,-10.3906250000E+00
-73.0000E-06,-10.3710937500E+00
-72.9000E-06,-10.3613281250E+00
-72.8000E-06,-10.3417968750E+00
-72.7000E-06,-10.3222656250E+00
-72.6000E-06,-10.3027343750E+00
-72.5000E-06,-10.2734375000E+00
-72.4000E-06,-10.2539062500E+00
-72.3000E-06,-10.2246093750E+00
-72.2000E-06,-10.2148437500E+00
-72.1000E-06,-10.2050781250E+00
-72.0000E-06,-10.1757812500E+00
-71.9000E-06,-10.1562500000E+00
-71.8000E-06,-10.1367187500E+00
-71.7000E-06,-10.1171875000E+00
-71.6000E-06,-10.0976562500E+00
-71.5000E-06,-10.0781250000E+00
-71.4000E-06,-10.0585937500E+00
-71.3000E-06,-10.0488281250E+00
-71.2000E-06,-10.0195312500E+00
-71.1000E-06,-10.0097656250E+00
-71.0000E-06,-9.9902343750E+00
-70.9000E-06,-9.9609375000E+00
-70.8000E-06,-9.9609375000E+00
-70.7000E-06,-9.9414062500E+00
-70.6000E-06,-9.9121093750E+00
-70.5000E-06,-9.8925781250E+00
-70.4000E-06,-9.8925781250E+00
-70.3000E-06,-9.8632812500E+00
-70.2000E-06,-9.8535156250E+00
-70.1000E-06,-9.8242187500E+00
-70.0000E-06,-9.7949218750E+00
-69.9000E-06,-9.8046875000E+00
-69.8000E-06,-9.7656250000E+00
-69.7000E-06,-9.7656250000E+00
-69.6000E-06,-9.7460937500E+00
-69.5000E-06,-9.7167968750E+00
-69.4000E-06,-9.6972656250E+00
-69.3000E-06,-9.6777343750E+00
-69.2000E-06,-9.6289062500E+00
-69.1000E-06,-9.5703125000E+00
-69.0000E-06,-9.0917968750E+00
-68.9000E-06,-7.5097656250E+00
-68.8000E-06,-5.3222656250E+00
-68.7000E-06,-3.0468750000E+00
-68.6000E-06,-839.8437500E-03
-68.5000E-06,+1.0644531250E+00
-68.4000E-06,+2.6757812500E+00
-68.3000E-06,+3.9160156250E+00
-68.2000E-06,+4.7753906250E+00
-68.1000E-06,+5.3417968750E+00
-68.0000E-06,+5.7031250000E+00
-67.9000E-06,+5.8398437500E+00
-67.8000E-06,+5.8105468750E+00
-67.7000E-06,+5.6250000000E+00
-67.6000E-06,+5.2832031250E+00
-67.5000E-06,+4.6777343750E+00
-67.4000E-06,+3.8281250000E+00
-67.3000E-06,+2.6953125000E+00
-67.2000E-06,+1.2402343750E+00
-67.1000E-06,-498.0468750E-03
-67.0000E-06,-2.3730468750E+00
-66.9000E-06,-4.2773437500E+00
-66.8000E-06,-6.0644531250E+00
-66.7000E-06,-7.4511718750E+00
-66.6000E-06,-8.1152343750E+00
-66.5000E-06,-7.8515625000E+00
-66.4000E-06,-6.7285156250E+00
-66.3000E-06,-5.0878906250E+00
-66.2000E-06,-3.2421875000E+00
-66.1000E-06,-1.3671875000E+00
-66.0000E-06,+371.0937500E-03
-65.9000E-06,+1.9140625000E+00
-65.8000E-06,+3.1445312500E+00
-65.7000E-06,+4.0722656250E+00
-65.6000E-06,+4.7070312500E+00
-65.5000E-06,+5.1269531250E+00
-65.4000E-06,+5.3320312500E+00
-65.3000E-06,+5.3808593750E+00
-65.2000E-06,+5.2246093750E+00
-65.1000E-06,+4.9316406250E+00
-65.0000E-06,+4.4238281250E+00
-64.9000E-06,+3.6816406250E+00
-64.8000E-06,+2.6660156250E+00
-64.7000E-06,+1.4257812500E+00
-64.6000E-06,-78.1250000E-03
-64.5000E-06,-1.7382812500E+00
-64.4000E-06,-3.4375000000E+00
