x-axis,3,MATH
second,Volt,Volt
-16.0000E-06,+14.8429689407E+00,-43.7499969E-03
-15.9000E-06,+14.8449220657E+00,-47.6562470E-03
-15.8000E-06,+14.8410158157E+00,-39.8437469E-03
-15.7000E-06,+14.8390626907E+00,-41.7968719E-03
-15.6000E-06,+14.8371095657E+00,-35.9374968E-03
-15.5000E-06,+14.8332033157E+00,-37.8906218E-03
-15.4000E-06,+14.8332033157E+00,-33.9843718E-03
-15.3000E-06,+14.8312501907E+00,-32.0312468E-03
-15.2000E-06,+14.8273439407E+00,-33.9843718E-03
-15.1000E-06,+14.8253908157E+00,-26.1718717E-03
-15.0000E-06,+14.8234376907E+00,-30.0781217E-03
-14.9000E-06,+14.8195314407E+00,-26.1718717E-03
-14.8000E-06,+14.8195314407E+00,-22.2656216E-03
-14.7000E-06,+14.8175783157E+00,-24.2187466E-03
-14.6000E-06,+14.8156251907E+00,-18.3593715E-03
-14.5000E-06,+14.8156251907E+00,-20.3124966E-03
-14.4000E-06,+14.8117189407E+00,-26.1718717E-03
-14.3000E-06,+14.8078126907E+00,-22.2656216E-03
-14.2000E-06,+14.8078126907E+00,-22.2656216E-03
-14.1000E-06,+14.8078126907E+00,-22.2656216E-03
-14.0000E-06,+14.8039064407E+00,-18.3593715E-03
-13.9000E-06,+14.8000001907E+00,-22.2656216E-03
-13.8000E-06,+14.8000001907E+00,-22.2656216E-03
-13.7000E-06,+14.7980470657E+00,-22.2656216E-03
-13.6000E-06,+14.7980470657E+00,-20.3124966E-03
-13.5000E-06,+14.7960939407E+00,-22.2656216E-03
-13.4000E-06,+14.7921876907E+00,-18.3593715E-03
-13.3000E-06,+14.7902345657E+00,-20.3124966E-03
-13.2000E-06,+14.7902345657E+00,-20.3124966E-03
-13.1000E-06,+14.7863283157E+00,-20.3124966E-03
-13.0000E-06,+14.7863283157E+00,-20.3124966E-03
-12.9000E-06,+14.7843751907E+00,-18.3593715E-03
-12.8000E-06,+14.7843751907E+00,-16.4062465E-03
-12.7000E-06,+14.7843751907E+00,-18.3593715E-03
-12.6000E-06,+14.7804689407E+00,-20.3124966E-03
-12.5000E-06,+14.7785158157E+00,-20.3124966E-03
-12.4000E-06,+14.7765626907E+00,-20.3124966E-03
-12.3000E-06,+14.7746095657E+00,-20.3124966E-03
-12.2000E-06,+14.7726564407E+00,-16.4062465E-03
-12.1000E-06,+14.7726564407E+00,-16.4062465E-03
-12.0000E-06,+14.7707033157E+00,-16.4062465E-03
-11.9000E-06,+14.7687501907E+00,-18.3593715E-03
-11.8000E-06,+14.7687501907E+00,-16.4062465E-03
-11.7000E-06,+14.7667970657E+00,-18.3593715E-03
-11.6000E-06,+14.7648439407E+00,-16.4062465E-03
-11.5000E-06,+14.7628908157E+00,-16.4062465E-03
-11.4000E-06,+14.7609376907E+00,-14.4531215E-03
-11.3000E-06,+14.7589845657E+00,-14.4531215E-03
-11.2000E-06,+14.7589845657E+00,-14.4531215E-03
-11.1000E-06,+14.7570314407E+00,-14.4531215E-03
-11.0000E-06,+14.7531251907E+00,-14.4531215E-03
-10.9000E-06,+14.7531251907E+00,-12.4999965E-03
-10.8000E-06,+14.7511720657E+00,-12.4999965E-03
-10.7000E-06,+14.7492189407E+00,-8.5937464E-03
-10.6000E-06,+14.7472658157E+00,-14.4531215E-03
-10.5000E-06,+14.7453126907E+00,-10.5468714E-03
-10.4000E-06,+14.7472658157E+00,-6.6406214E-03
-10.3000E-06,+14.7433595657E+00,-12.4999965E-03
-10.2000E-06,+14.7433595657E+00,-4.6874963E-03
-10.1000E-06,+14.7414064407E+00,-10.5468714E-03
-10.0000E-06,+14.7394533157E+00,-8.5937464E-03
-9.9000E-06,+14.7394533157E+00,-10.5468714E-03
-9.8000E-06,+14.7375001907E+00,-6.6406214E-03
-9.7000E-06,+14.7355470657E+00,-8.5937464E-03
-9.6000E-06,+14.7335939407E+00,-4.6874963E-03
-9.5000E-06,+14.7335939407E+00,-8.5937464E-03
-9.4000E-06,+14.7316408157E+00,-6.6406214E-03
-9.3000E-06,+14.7316408157E+00,-8.5937464E-03
-9.2000E-06,+14.7296876907E+00,-4.6874963E-03
-9.1000E-06,+14.7277345657E+00,-10.5468714E-03
-9.0000E-06,+14.7277345657E+00,-4.6874963E-03
-8.9000E-06,+14.7257814407E+00,-2.7343713E-03
-8.8000E-06,+14.7238283157E+00,-4.6874963E-03
-8.7000E-06,+14.7218751907E+00,-4.6874963E-03
-8.6000E-06,+14.7218751907E+00,-8.5937464E-03
-8.5000E-06,+14.7179689407E+00,-2.7343713E-03
-8.4000E-06,+14.7179689407E+00,-6.6406214E-03
-8.3000E-06,+14.7160158157E+00,-4.6874963E-03
-8.2000E-06,+14.7160158157E+00,-2.7343713E-03
-8.1000E-06,+14.7140626907E+00,-2.7343713E-03
-8.0000E-06,+14.7121095657E+00,-2.7343713E-03
-7.9000E-06,+14.7121095657E+00,-2.7343713E-03
-7.8000E-06,+14.7121095657E+00,-781.2463E-06
-7.7000E-06,+14.7101564407E+00,-781.2463E-06
-7.6000E-06,+14.7082033157E+00,+1.1718787E-03
-7.5000E-06,+14.7082033157E+00,-781.2463E-06
-7.4000E-06,+14.7082033157E+00,+1.1718787E-03
-7.3000E-06,+14.7042970657E+00,+1.1718787E-03
-7.2000E-06,+14.7023439407E+00,+3.1250038E-03
-7.1000E-06,+14.7003908157E+00,+1.1718787E-03
-7.0000E-06,+14.7023439407E+00,+3.1250038E-03
-6.9000E-06,+14.6984376907E+00,+1.1718787E-03
-6.8000E-06,+14.6984376907E+00,+1.1718787E-03
-6.7000E-06,+14.6945314407E+00,+1.1718787E-03
-6.6000E-06,+14.6984376907E+00,+3.1250038E-03
-6.5000E-06,+14.6945314407E+00,+3.1250038E-03
-6.4000E-06,+14.6945314407E+00,+3.1250038E-03
-6.3000E-06,+14.6925783157E+00,+5.0781288E-03
-6.2000E-06,+14.6906251907E+00,+5.0781288E-03
-6.1000E-06,+14.6906251907E+00,+8.9843789E-03
-6.0000E-06,+14.6886720657E+00,+7.0312538E-03
-5.9000E-06,+14.6886720657E+00,+5.0781288E-03
-5.8000E-06,+14.6847658157E+00,+5.0781288E-03
-5.7000E-06,+14.6847658157E+00,+8.9843789E-03
-5.6000E-06,+14.6847658157E+00,+12.8906289E-03
-5.5000E-06,+14.6828126907E+00,+10.9375039E-03
-5.4000E-06,+14.6828126907E+00,+8.9843789E-03
-5.3000E-06,+14.6750001907E+00,+10.9375039E-03
-5.2000E-06,+14.6789064407E+00,+8.9843789E-03
-5.1000E-06,+14.6789064407E+00,+16.7968790E-03
-5.0000E-06,+14.6750001907E+00,+14.8437539E-03
-4.9000E-06,+14.6730470657E+00,+12.8906289E-03
-4.8000E-06,+14.6730470657E+00,+16.7968790E-03
-4.7000E-06,+14.6710939407E+00,+18.7500040E-03
-4.6000E-06,+14.6691408157E+00,+18.7500040E-03
-4.5000E-06,+14.6691408157E+00,+18.7500040E-03
-4.4000E-06,+14.6710939407E+00,+16.7968790E-03
-4.3000E-06,+14.6671876907E+00,+22.6562541E-03
-4.2000E-06,+14.6671876907E+00,+16.7968790E-03
-4.1000E-06,+14.6652345657E+00,+18.7500040E-03
-4.0000E-06,+14.6652345657E+00,+18.7500040E-03
-3.9000E-06,+14.6632814407E+00,+20.7031290E-03
-3.8000E-06,+14.6613283157E+00,+26.5625041E-03
-3.7000E-06,+14.6613283157E+00,+18.7500040E-03
-3.6000E-06,+14.6593751907E+00,+22.6562541E-03
-3.5000E-06,+14.6574220657E+00,+18.7500040E-03
-3.4000E-06,+14.6574220657E+00,+24.6093791E-03
-3.3000E-06,+14.6554689407E+00,+20.7031290E-03
-3.2000E-06,+14.6554689407E+00,+22.6562541E-03
-3.1000E-06,+14.6535158157E+00,+24.6093791E-03
-3.0000E-06,+14.6515626907E+00,+22.6562541E-03
-2.9000E-06,+14.6515626907E+00,+24.6093791E-03
-2.8000E-06,+14.6476564407E+00,+24.6093791E-03
-2.7000E-06,+14.6476564407E+00,+22.6562541E-03
-2.6000E-06,+14.6457033157E+00,+26.5625041E-03
-2.5000E-06,+14.6476564407E+00,+26.5625041E-03
-2.4000E-06,+14.6457033157E+00,+24.6093791E-03
-2.3000E-06,+14.6417970657E+00,+24.6093791E-03
-2.2000E-06,+14.6437501907E+00,+26.5625041E-03
-2.1000E-06,+14.6417970657E+00,+26.5625041E-03
-2.0000E-06,+14.6398439407E+00,+28.5156292E-03
-1.9000E-06,+14.6398439407E+00,+26.5625041E-03
-1.8000E-06,+14.6398439407E+00,+28.5156292E-03
-1.7000E-06,+14.6359376907E+00,+26.5625041E-03
-1.6000E-06,+14.6378908157E+00,+28.5156292E-03
-1.5000E-06,+14.6339845657E+00,+34.3750042E-03
-1.4000E-06,+14.6359376907E+00,+30.4687542E-03
-1.3000E-06,+14.6320314407E+00,+32.4218792E-03
-1.2000E-06,+14.6300783157E+00,+34.3750042E-03
-1.1000E-06,+14.6300783157E+00,+26.5625041E-03
-1.0000E-06,+14.6281251907E+00,+32.4218792E-03
-900.0E-09,+14.6261720657E+00,+30.4687542E-03
-800.0E-09,+14.6242189407E+00,+32.4218792E-03
-700.0E-09,+14.6261720657E+00,+30.4687542E-03
-600.0E-09,+14.6222658157E+00,+30.4687542E-03
-500.0E-09,+14.6222658157E+00,+32.4218792E-03
-400.0E-09,+14.6222658157E+00,+36.3281293E-03
-300.0E-09,+14.6203126907E+00,+32.4218792E-03
-200.0E-09,+14.6203126907E+00,+30.4687542E-03
-100.0E-09,+14.6378908157E+00,+30.4687542E-03
+0.0E+00,+15.8917970657E+00,+85.1562550E-03
+100.0E-09,+15.9660158157E+00,+61.7187546E-03
+200.0E-09,+15.9855470657E+00,+59.7656296E-03
+300.0E-09,+16.0011720657E+00,+57.8125046E-03
+400.0E-09,+16.0050783157E+00,+55.8593796E-03
+500.0E-09,+16.0031251907E+00,+50.0000045E-03
+600.0E-09,+16.0050783157E+00,+50.0000045E-03
+700.0E-09,+15.9972658157E+00,+51.9531295E-03
+800.0E-09,+15.9914064407E+00,+46.0937544E-03
+900.0E-09,+15.9855470657E+00,+44.1406294E-03
+1.0000E-06,+15.9777345657E+00,+46.0937544E-03
+1.1000E-06,+15.9679689407E+00,+44.1406294E-03
+1.2000E-06,+15.9582033157E+00,+46.0937544E-03
+1.3000E-06,+15.9503908157E+00,+42.1875044E-03
+1.4000E-06,+15.9406251907E+00,+36.3281293E-03
+1.5000E-06,+15.9308595657E+00,+44.1406294E-03
+1.6000E-06,+15.9191408157E+00,+38.2812543E-03
+1.7000E-06,+15.9113283157E+00,+40.2343793E-03
+1.8000E-06,+15.9015626907E+00,+36.3281293E-03
+1.9000E-06,+15.8898439407E+00,+34.3750042E-03
+2.0000E-06,+15.8800783157E+00,+32.4218792E-03
+2.1000E-06,+15.8683595657E+00,+28.5156292E-03
+2.2000E-06,+15.8585939407E+00,+28.5156292E-03
+2.3000E-06,+15.8468751907E+00,+30.4687542E-03
+2.4000E-06,+15.8351564407E+00,+26.5625041E-03
+2.5000E-06,+15.8214845657E+00,+26.5625041E-03
+2.6000E-06,+15.8117189407E+00,+26.5625041E-03
+2.7000E-06,+15.8000001907E+00,+22.6562541E-03
+2.8000E-06,+15.7882814407E+00,+26.5625041E-03
+2.9000E-06,+15.7746095657E+00,+20.7031290E-03
+3.0000E-06,+15.7628908157E+00,+22.6562541E-03
+3.1000E-06,+15.7511720657E+00,+16.7968790E-03
+3.2000E-06,+15.7394533157E+00,+18.7500040E-03
+3.3000E-06,+15.7277345657E+00,+16.7968790E-03
+3.4000E-06,+15.7140626907E+00,+18.7500040E-03
+3.5000E-06,+15.7003908157E+00,+12.8906289E-03
+3.6000E-06,+15.6847658157E+00,+10.9375039E-03
+3.7000E-06,+15.6730470657E+00,+12.8906289E-03
+3.8000E-06,+15.6574220657E+00,+10.9375039E-03
+3.9000E-06,+15.6437501907E+00,+8.9843789E-03
+4.0000E-06,+15.6300783157E+00,+3.1250038E-03
+4.1000E-06,+15.6125001907E+00,+7.0312538E-03
+4.2000E-06,+15.5988283157E+00,+5.0781288E-03
+4.3000E-06,+15.5851564407E+00,+5.0781288E-03
+4.4000E-06,+15.5714845657E+00,+7.0312538E-03
+4.5000E-06,+15.5578126907E+00,+5.0781288E-03
+4.6000E-06,+15.5441408157E+00,+5.0781288E-03
+4.7000E-06,+15.5285158157E+00,+3.1250038E-03
+4.8000E-06,+15.5148439407E+00,+3.1250038E-03
+4.9000E-06,+15.4992189407E+00,-781.2463E-06
+5.0000E-06,+15.4855470657E+00,-781.2463E-06
+5.1000E-06,+15.4699220657E+00,+1.1718787E-03
+5.2000E-06,+15.4582033157E+00,-781.2463E-06
