x-axis,1,3,MATH
second,Volt,Volt,Volt
+33.164000E-06,-593.750000000E-03,-546.875000000E-03,+787.109375000E-03
+33.166000E-06,-554.687500000E-03,-625.000000000E-03,+748.046875000E-03
+33.168000E-06,-515.625000000E-03,-625.000000000E-03,+708.984375000E-03
+33.170000E-06,-554.687500000E-03,-585.937500000E-03,+669.921875000E-03
+33.172000E-06,-515.625000000E-03,-585.937500000E-03,+630.859375000E-03
+33.174000E-06,-554.687500000E-03,-585.937500000E-03,+748.046874999E-03
+33.176000E-06,-554.687500000E-03,-625.000000000E-03,+708.984375000E-03
+33.178000E-06,-515.625000000E-03,-625.000000000E-03,+669.921875000E-03
+33.180000E-06,-476.562500000E-03,-546.875000001E-03,+630.859375000E-03
+33.182000E-06,-476.562500000E-03,-507.812500000E-03,+630.859375000E-03
+33.184000E-06,-554.687499999E-03,-585.937499999E-03,+708.984374999E-03
+33.186000E-06,-398.437500002E-03,-625.000000000E-03,+513.671875002E-03
+33.188000E-06,-476.562499999E-03,-546.875000001E-03,+669.921874998E-03
+33.190000E-06,-476.562500000E-03,-507.812500001E-03,+591.796875001E-03
+33.192000E-06,-593.749999998E-03,-664.062499998E-03,+669.921874999E-03
+33.194000E-06,-554.687500001E-03,-625.000000001E-03,+748.046874999E-03
+33.196000E-06,-554.687500000E-03,-625.000000000E-03,+748.046875000E-03
+33.198000E-06,-515.625000001E-03,-585.937500001E-03,+669.921875001E-03
+33.200000E-06,-476.562500001E-03,-664.062499998E-03,+591.796875002E-03
+33.202000E-06,-476.562500000E-03,-585.937500002E-03,+630.859374999E-03
+33.204000E-06,-476.562500000E-03,-585.937500000E-03,+708.984374998E-03
+33.206000E-06,-437.500000001E-03,-585.937500000E-03,+630.859375002E-03
+33.208000E-06,-671.874999994E-03,-624.999999999E-03,+865.234374994E-03
+33.210000E-06,-593.750000002E-03,-468.750000004E-03,+748.046875003E-03
+33.212000E-06,-593.750000000E-03,-468.750000000E-03,+748.046875000E-03
+33.214000E-06,-476.562500003E-03,-624.999999996E-03,+630.859375003E-03
+33.216000E-06,-515.624999999E-03,-664.062499999E-03,+669.921874999E-03
+33.218000E-06,-554.687499999E-03,-585.937500002E-03,+748.046874998E-03
+33.220000E-06,-554.687500000E-03,-546.875000001E-03,+748.046875000E-03
+33.222000E-06,-515.625000001E-03,-468.750000003E-03,+708.984375001E-03
+33.224000E-06,-632.812499996E-03,-585.937499996E-03,+748.046874999E-03
+33.226000E-06,-515.625000004E-03,-507.812500003E-03,+669.921875003E-03
+33.228000E-06,-515.625000000E-03,-585.937499997E-03,+669.921875000E-03
+33.230000E-06,-515.625000000E-03,-624.999999999E-03,+748.046874997E-03
+33.232000E-06,-671.874999994E-03,-625.000000000E-03,+748.046875000E-03
+33.234000E-06,-593.750000003E-03,-585.937500002E-03,+708.984375002E-03
+33.236000E-06,-593.750000000E-03,-624.999999998E-03,+748.046874998E-03
+33.238000E-06,-476.562500005E-03,-546.875000003E-03,+669.921875003E-03
+33.240000E-06,-554.687499997E-03,-585.937499998E-03,+669.921875000E-03
+33.242000E-06,-515.625000002E-03,-585.937500000E-03,+708.984374998E-03
+33.244000E-06,-554.687499998E-03,-507.812500004E-03,+708.984375000E-03
+33.246000E-06,-515.625000002E-03,-546.874999998E-03,+669.921875002E-03
+33.248000E-06,-593.749999996E-03,-624.999999996E-03,+630.859375002E-03
+33.250000E-06,-554.687500002E-03,-585.937500002E-03,+748.046874994E-03
+33.252000E-06,-476.562500004E-03,-546.875000002E-03,+669.921875004E-03
+33.254000E-06,-515.624999998E-03,-624.999999996E-03,+669.921875000E-03
+33.256000E-06,-515.625000000E-03,-625.000000000E-03,+708.984374998E-03
+33.258000E-06,-593.749999996E-03,-546.875000004E-03,+826.171874994E-03
+33.260000E-06,-554.687500002E-03,-546.875000000E-03,+787.109375002E-03
+33.262000E-06,-437.500000007E-03,-585.937499998E-03,+630.859375009E-03
+33.264000E-06,-554.687499993E-03,-585.937500000E-03,+669.921874998E-03
+33.266000E-06,-593.749999998E-03,-585.937500000E-03,+708.984374998E-03
+33.268000E-06,-554.687500002E-03,-585.937500000E-03,+630.859375005E-03
+33.270000E-06,-476.562500005E-03,-546.875000002E-03,+669.921874998E-03
+33.272000E-06,-593.749999993E-03,-624.999999995E-03,+748.046874995E-03
+33.274000E-06,-476.562500008E-03,-625.000000000E-03,+630.859375008E-03
