x-axis,3,MATH
second,Volt,Volt
-84.1000E-06,+14.9996089935E+00,-7.8124995E-03
-84.0000E-06,+14.9996089935E+00,-7.0312495E-03
-83.9000E-06,+14.9976558685E+00,-8.9843744E-03
-83.8000E-06,+14.9966793060E+00,-8.2031245E-03
-83.7000E-06,+14.9957027435E+00,-8.5937495E-03
-83.6000E-06,+14.9957027435E+00,-8.9843744E-03
-83.5000E-06,+14.9957027435E+00,-8.9843744E-03
-83.4000E-06,+14.9937496185E+00,-8.5937495E-03
-83.3000E-06,+14.9947261810E+00,-8.2031245E-03
-83.2000E-06,+14.9937496185E+00,-8.5937495E-03
-83.1000E-06,+14.9937496185E+00,-10.1562494E-03
-83.0000E-06,+14.9927730560E+00,-9.3749994E-03
-82.9000E-06,+14.9917964935E+00,-9.7656244E-03
-82.8000E-06,+14.9917964935E+00,-9.3749994E-03
-82.7000E-06,+14.9908199310E+00,-9.3749994E-03
-82.6000E-06,+14.9917964935E+00,-8.9843744E-03
-82.5000E-06,+14.9898433685E+00,-7.8124995E-03
-82.4000E-06,+14.9908199310E+00,-7.8124995E-03
-82.3000E-06,+14.9898433685E+00,-8.5937495E-03
-82.2000E-06,+14.9888668060E+00,-7.8124995E-03
-82.1000E-06,+14.9878902435E+00,-7.4218745E-03
-82.0000E-06,+14.9878902435E+00,-6.6406245E-03
-81.9000E-06,+14.9878902435E+00,-6.6406245E-03
-81.8000E-06,+14.9869136810E+00,-6.6406245E-03
-81.7000E-06,+14.9859371185E+00,-6.2499995E-03
-81.6000E-06,+14.9849605560E+00,-5.4687495E-03
-81.5000E-06,+14.9849605560E+00,-5.0781245E-03
-81.4000E-06,+14.9849605560E+00,-6.2499995E-03
-81.3000E-06,+14.9839839935E+00,-5.8593745E-03
-81.2000E-06,+14.9839839935E+00,-5.0781245E-03
-81.1000E-06,+14.9830074310E+00,-5.0781245E-03
-81.0000E-06,+14.9830074310E+00,-3.1249996E-03
-80.9000E-06,+14.9830074310E+00,-5.0781245E-03
-80.8000E-06,+14.9820308685E+00,-3.9062496E-03
-80.7000E-06,+14.9830074310E+00,-2.7343746E-03
-80.6000E-06,+14.9810543060E+00,-2.3437496E-03
-80.5000E-06,+14.9800777435E+00,-1.5624996E-03
-80.4000E-06,+14.9800777435E+00,-2.3437496E-03
-80.3000E-06,+14.9791011810E+00,-1.5624996E-03
-80.2000E-06,+14.9791011810E+00,-1.9531246E-03
-80.1000E-06,+14.9791011810E+00,-781.2496E-06
-80.0000E-06,+14.9791011810E+00,+781.2503E-06
-79.9000E-06,+14.9781246185E+00,+300E-12
-79.8000E-06,+14.9771480560E+00,+781.2503E-06
-79.7000E-06,+14.9781246185E+00,+1.1718753E-03
-79.6000E-06,+14.9751949310E+00,+1.5625003E-03
-79.5000E-06,+14.9771480560E+00,+2.7343753E-03
-79.4000E-06,+14.9761714935E+00,+2.3437503E-03
-79.3000E-06,+14.9761714935E+00,+2.3437503E-03
-79.2000E-06,+14.9761714935E+00,+2.7343753E-03
-79.1000E-06,+14.9751949310E+00,+2.7343753E-03
-79.0000E-06,+14.9742183685E+00,+2.7343753E-03
-78.9000E-06,+14.9742183685E+00,+2.3437503E-03
-78.8000E-06,+14.9722652435E+00,+3.9062503E-03
-78.7000E-06,+14.9732418060E+00,+3.9062503E-03
-78.6000E-06,+14.9722652435E+00,+5.0781252E-03
-78.5000E-06,+14.9732418060E+00,+3.9062503E-03
-78.4000E-06,+14.9712886810E+00,+4.6875002E-03
-78.3000E-06,+14.9703121185E+00,+5.0781252E-03
-78.2000E-06,+14.9722652435E+00,+5.8593752E-03
-78.1000E-06,+14.9693355560E+00,+5.4687502E-03
-78.0000E-06,+14.9703121185E+00,+6.2500002E-03
-77.9000E-06,+14.9683589935E+00,+6.6406252E-03
-77.8000E-06,+14.9683589935E+00,+7.4218752E-03
-77.7000E-06,+14.9683589935E+00,+6.6406252E-03
-77.6000E-06,+14.9683589935E+00,+7.0312502E-03
-77.5000E-06,+14.9683589935E+00,+7.0312502E-03
-77.4000E-06,+14.9673824310E+00,+8.5937502E-03
-77.3000E-06,+14.9664058685E+00,+8.5937502E-03
-77.2000E-06,+14.9664058685E+00,+8.5937502E-03
-77.1000E-06,+14.9654293060E+00,+8.5937502E-03
-77.0000E-06,+14.9644527435E+00,+8.9843751E-03
-76.9000E-06,+14.9644527435E+00,+9.7656251E-03
-76.8000E-06,+14.9634761810E+00,+9.3750001E-03
-76.7000E-06,+14.9644527435E+00,+9.7656251E-03
-76.6000E-06,+14.9644527435E+00,+9.3750001E-03
-76.5000E-06,+14.9624996185E+00,+10.1562501E-03
-76.4000E-06,+14.9624996185E+00,+10.9375001E-03
-76.3000E-06,+14.9644527435E+00,+10.1562501E-03
-76.2000E-06,+14.9634761810E+00,+11.7187501E-03
-76.1000E-06,+14.9615230560E+00,+11.3281251E-03
-76.0000E-06,+14.9624996185E+00,+11.7187501E-03
-75.9000E-06,+14.9595699310E+00,+11.3281251E-03
-75.8000E-06,+14.9615230560E+00,+12.1093751E-03
-75.7000E-06,+14.9605464935E+00,+12.1093751E-03
-75.6000E-06,+14.9576168060E+00,+14.0625000E-03
-75.5000E-06,+14.9595699310E+00,+12.5000001E-03
-75.4000E-06,+14.9585933685E+00,+12.8906251E-03
-75.3000E-06,+14.9585933685E+00,+12.5000001E-03
-75.2000E-06,+14.9595699310E+00,+13.6718750E-03
-75.1000E-06,+14.9673824310E+00,+10.9375001E-03
-75.0000E-06,+15.5337886810E+00,+72.2656237E-03
-74.9000E-06,+15.5650386810E+00,+14.8437500E-03
-74.8000E-06,+15.5787105560E+00,+17.5781250E-03
-74.7000E-06,+15.5796871185E+00,+18.7499999E-03
-74.6000E-06,+15.5816402435E+00,+19.5312499E-03
-74.5000E-06,+15.5796871185E+00,+20.3124999E-03
-74.4000E-06,+15.5757808685E+00,+21.4843749E-03
-74.3000E-06,+15.5748043060E+00,+22.6562498E-03
-74.2000E-06,+15.5689449310E+00,+22.6562498E-03
-74.1000E-06,+15.5640621185E+00,+23.8281248E-03
-74.0000E-06,+15.5582027435E+00,+24.2187498E-03
-73.9000E-06,+15.5513668060E+00,+23.0468748E-03
-73.8000E-06,+15.5455074310E+00,+23.8281248E-03
-73.7000E-06,+15.5386714935E+00,+24.2187498E-03
-73.6000E-06,+15.5318355560E+00,+24.2187498E-03
-73.5000E-06,+15.5240230560E+00,+23.4374998E-03
-73.4000E-06,+15.5162105560E+00,+23.8281248E-03
-73.3000E-06,+15.5074214935E+00,+24.2187498E-03
-73.2000E-06,+15.4986324310E+00,+24.2187498E-03
-73.1000E-06,+15.4937496185E+00,+24.9999998E-03
-73.0000E-06,+15.4839839935E+00,+24.9999998E-03
-72.9000E-06,+15.4751949310E+00,+25.3906248E-03
-72.8000E-06,+15.4673824310E+00,+26.1718748E-03
-72.7000E-06,+15.4595699310E+00,+25.3906248E-03
-72.6000E-06,+15.4488277435E+00,+25.7812498E-03
-72.5000E-06,+15.4390621185E+00,+24.2187498E-03
-72.4000E-06,+15.4322261810E+00,+24.2187498E-03
-72.3000E-06,+15.4205074310E+00,+23.4374998E-03
-72.2000E-06,+15.4117183685E+00,+23.4374998E-03
-72.1000E-06,+15.4009761810E+00,+22.6562498E-03
-72.0000E-06,+15.3921871185E+00,+21.0937499E-03
-71.9000E-06,+15.3824214935E+00,+19.9218749E-03
-71.8000E-06,+15.3726558685E+00,+18.7499999E-03
-71.7000E-06,+15.3619136810E+00,+17.9687499E-03
-71.6000E-06,+15.3531246185E+00,+18.3593749E-03
-71.5000E-06,+15.3423824310E+00,+17.1875000E-03
-71.4000E-06,+15.3306636810E+00,+17.5781250E-03
-71.3000E-06,+15.3228511810E+00,+17.5781250E-03
-71.2000E-06,+15.3121089935E+00,+16.7968750E-03
-71.1000E-06,+15.3033199310E+00,+16.4062500E-03
-71.0000E-06,+15.2916011810E+00,+16.4062500E-03
-70.9000E-06,+15.2818355560E+00,+16.7968750E-03
-70.8000E-06,+15.2701168060E+00,+15.6250000E-03
-70.7000E-06,+15.2603511810E+00,+14.4531250E-03
-70.6000E-06,+15.2486324310E+00,+13.6718750E-03
-70.5000E-06,+15.2398433685E+00,+13.6718750E-03
-70.4000E-06,+15.2281246185E+00,+13.2812501E-03
-70.3000E-06,+15.2173824310E+00,+12.1093751E-03
-70.2000E-06,+15.2027339935E+00,+10.9375001E-03
-70.1000E-06,+15.1919918060E+00,+10.5468751E-03
-70.0000E-06,+15.1822261810E+00,+10.5468751E-03
-69.9000E-06,+15.1714839935E+00,+9.7656251E-03
-69.8000E-06,+15.1597652435E+00,+8.9843751E-03
-69.7000E-06,+15.1490230560E+00,+8.5937502E-03
-69.6000E-06,+15.1363277435E+00,+8.2031252E-03
-69.5000E-06,+15.1265621185E+00,+8.5937502E-03
-69.4000E-06,+15.1177730560E+00,+7.4218752E-03
-69.3000E-06,+15.1041011810E+00,+7.0312502E-03
-69.2000E-06,+15.0933589935E+00,+7.4218752E-03
-69.1000E-06,+15.0845699310E+00,+7.4218752E-03
-69.0000E-06,+15.0796871185E+00,+5.8593752E-03
-68.9000E-06,+15.0777339935E+00,+5.4687502E-03
-68.8000E-06,+15.0757808685E+00,+4.2968753E-03
-68.7000E-06,+15.0738277435E+00,+5.0781252E-03
-68.6000E-06,+15.0728511810E+00,+4.2968753E-03
-68.5000E-06,+15.0708980560E+00,+3.9062503E-03
-68.4000E-06,+15.0679683685E+00,+2.7343753E-03
-68.3000E-06,+15.0660152435E+00,+1.1718753E-03
-68.2000E-06,+15.0650386810E+00,+390.6253E-06
-68.1000E-06,+15.0630855560E+00,+300E-12
-68.0000E-06,+15.0611324310E+00,-781.2496E-06
-67.9000E-06,+15.0591793060E+00,-1.9531246E-03
-67.8000E-06,+15.0591793060E+00,-1.5624996E-03
-67.7000E-06,+15.0572261810E+00,-3.1249996E-03
-67.6000E-06,+15.0562496185E+00,-3.5156246E-03
-67.5000E-06,+15.0552730560E+00,-4.2968746E-03
-67.4000E-06,+15.0533199310E+00,-5.0781245E-03
-67.3000E-06,+15.0542964935E+00,-6.6406245E-03
-67.2000E-06,+15.0552730560E+00,-7.8124995E-03
-67.1000E-06,+15.0533199310E+00,-8.2031245E-03
-67.0000E-06,+15.0533199310E+00,-8.5937495E-03
-66.9000E-06,+15.0533199310E+00,-7.4218745E-03
-66.8000E-06,+15.0513668060E+00,-9.3749994E-03
-66.7000E-06,+15.0533199310E+00,-9.7656244E-03
-66.6000E-06,+15.0513668060E+00,-8.9843744E-03
-66.5000E-06,+15.0494136810E+00,-8.9843744E-03
-66.4000E-06,+15.0494136810E+00,-7.4218745E-03
