x-axis,MATH
second,Volt
-41.2000E-06,+7.0900937617E+00
-41.1000E-06,+6.9436093867E+00
-41.0000E-06,+6.9436093867E+00
-40.9000E-06,+6.9436093867E+00
-40.8000E-06,+6.9338437617E+00
-40.7000E-06,+6.9436093867E+00
-40.6000E-06,+6.9338437617E+00
-40.5000E-06,+6.7775937617E+00
-40.4000E-06,+6.9338437617E+00
-40.3000E-06,+6.9143125117E+00
-40.2000E-06,+6.9143125117E+00
-40.1000E-06,+6.7580625117E+00
-40.0000E-06,+6.8947812617E+00
-39.9000E-06,+6.7385312617E+00
-39.8000E-06,+6.7385312617E+00
-39.7000E-06,+6.7287656367E+00
-39.6000E-06,+6.7092343867E+00
-39.5000E-06,+6.7092343867E+00
-39.4000E-06,+6.7092343867E+00
-39.3000E-06,+6.6994687617E+00
-39.2000E-06,+6.6994687617E+00
-39.1000E-06,+6.6994687617E+00
-39.0000E-06,+6.6994687617E+00
-38.9000E-06,+6.6799375117E+00
-38.8000E-06,+6.6799375117E+00
-38.7000E-06,+6.6799375117E+00
-38.6000E-06,+6.6799375117E+00
-38.5000E-06,+6.6799375117E+00
-38.4000E-06,+6.6799375117E+00
-38.3000E-06,+6.6701718867E+00
-38.2000E-06,+6.6701718867E+00
-38.1000E-06,+6.6701718867E+00
-38.0000E-06,+6.6701718867E+00
-37.9000E-06,+6.6506406367E+00
-37.8000E-06,+6.6701718867E+00
-37.7000E-06,+6.6506406367E+00
-37.6000E-06,+6.6506406367E+00
-37.5000E-06,+6.6701718867E+00
-37.4000E-06,+6.6506406367E+00
-37.3000E-06,+6.6311093867E+00
-37.2000E-06,+6.6506406367E+00
-37.1000E-06,+6.6506406367E+00
-37.0000E-06,+6.6311093867E+00
-36.9000E-06,+6.6506406367E+00
-36.8000E-06,+6.6311093867E+00
-36.7000E-06,+6.6506406367E+00
-36.6000E-06,+6.6311093867E+00
-36.5000E-06,+6.6311093867E+00
-36.4000E-06,+6.4748593867E+00
-36.3000E-06,+6.6311093867E+00
-36.2000E-06,+6.6311093867E+00
-36.1000E-06,+6.4748593867E+00
-36.0000E-06,+6.6311093867E+00
-35.9000E-06,+6.4748593867E+00
-35.8000E-06,+6.6311093867E+00
-35.7000E-06,+6.6311093867E+00
-35.6000E-06,+6.6311093867E+00
-35.5000E-06,+6.6311093867E+00
-35.4000E-06,+6.6311093867E+00
-35.3000E-06,+6.6213437617E+00
-35.2000E-06,+6.6213437617E+00
-35.1000E-06,+6.4650937617E+00
-35.0000E-06,+6.4650937617E+00
-34.9000E-06,+6.6213437617E+00
-34.8000E-06,+6.6213437617E+00
-34.7000E-06,+6.4650937617E+00
-34.6000E-06,+6.4650937617E+00
-34.5000E-06,+6.6213437617E+00
-34.4000E-06,+6.6213437617E+00
-34.3000E-06,+6.6213437617E+00
-34.2000E-06,+6.4455625117E+00
-34.1000E-06,+6.6213437617E+00
-34.0000E-06,+6.6213437617E+00
-33.9000E-06,+6.6018125117E+00
-33.8000E-06,+6.6018125117E+00
-33.7000E-06,+6.6018125117E+00
-33.6000E-06,+6.6018125117E+00
-33.5000E-06,+6.4455625117E+00
-33.4000E-06,+6.5920468867E+00
-33.3000E-06,+6.6018125117E+00
-33.2000E-06,+6.6018125117E+00
-33.1000E-06,+6.6018125117E+00
-33.0000E-06,+6.4357968867E+00
-32.9000E-06,+6.6018125117E+00
-32.8000E-06,+6.6018125117E+00
-32.7000E-06,+6.4357968867E+00
-32.6000E-06,+6.4455625117E+00
-32.5000E-06,+6.4357968867E+00
-32.4000E-06,+6.5920468867E+00
-32.3000E-06,+6.5920468867E+00
-32.2000E-06,+6.5920468867E+00
-32.1000E-06,+6.4357968867E+00
-32.0000E-06,+6.5920468867E+00
-31.9000E-06,+6.5920468867E+00
-31.8000E-06,+6.4357968867E+00
-31.7000E-06,+6.4357968867E+00
-31.6000E-06,+6.4357968867E+00
-31.5000E-06,+6.5725156367E+00
-31.4000E-06,+6.4162656367E+00
-31.3000E-06,+6.4162656367E+00
-31.2000E-06,+6.5920468867E+00
-31.1000E-06,+6.4357968867E+00
-31.0000E-06,+6.4162656367E+00
-30.9000E-06,+6.4162656367E+00
-30.8000E-06,+6.4162656367E+00
-30.7000E-06,+6.4162656367E+00
-30.6000E-06,+6.4162656367E+00
-30.5000E-06,+6.4065000117E+00
-30.4000E-06,+6.4162656367E+00
-30.3000E-06,+6.5725156367E+00
-30.2000E-06,+6.5725156367E+00
-30.1000E-06,+6.4065000117E+00
-30.0000E-06,+6.4065000117E+00
-29.9000E-06,+6.5627500117E+00
-29.8000E-06,+6.4065000117E+00
-29.7000E-06,+6.5627500117E+00
-29.6000E-06,+6.4065000117E+00
-29.5000E-06,+6.4065000117E+00
-29.4000E-06,+6.4065000117E+00
-29.3000E-06,+6.5627500117E+00
-29.2000E-06,+6.5432187617E+00
-29.1000E-06,+6.4065000117E+00
-29.0000E-06,+6.5432187617E+00
-28.9000E-06,+6.3869687617E+00
-28.8000E-06,+6.5432187617E+00
-28.7000E-06,+6.3869687617E+00
-28.6000E-06,+6.3869687617E+00
-28.5000E-06,+6.3869687617E+00
-28.4000E-06,+6.3869687617E+00
-28.3000E-06,+6.3869687617E+00
-28.2000E-06,+6.3869687617E+00
-28.1000E-06,+6.5432187617E+00
-28.0000E-06,+6.3869687617E+00
-27.9000E-06,+6.3869687617E+00
-27.8000E-06,+6.3869687617E+00
-27.7000E-06,+6.3869687617E+00
-27.6000E-06,+6.3772031367E+00
-27.5000E-06,+6.3869687617E+00
-27.4000E-06,+6.3772031367E+00
-27.3000E-06,+6.3772031367E+00
-27.2000E-06,+6.3772031367E+00
-27.1000E-06,+6.3772031367E+00
-27.0000E-06,+6.3772031367E+00
-26.9000E-06,+6.3772031367E+00
-26.8000E-06,+6.5334531367E+00
-26.7000E-06,+6.3772031367E+00
-26.6000E-06,+6.3772031367E+00
-26.5000E-06,+6.3772031367E+00
-26.4000E-06,+6.3772031367E+00
-26.3000E-06,+6.3772031367E+00
-26.2000E-06,+6.3576718867E+00
-26.1000E-06,+6.3772031367E+00
-26.0000E-06,+6.5139218867E+00
-25.9000E-06,+6.3576718867E+00
-25.8000E-06,+6.3772031367E+00
-25.7000E-06,+6.3576718867E+00
-25.6000E-06,+6.3772031367E+00
-25.5000E-06,+6.5139218867E+00
-25.4000E-06,+6.3576718867E+00
-25.3000E-06,+6.3576718867E+00
-25.2000E-06,+5.8889218867E+00
-25.1000E-06,-4.8630312383E+00
-25.0000E-06,-12.1774843633E+00
-24.9000E-06,-11.8161562383E+00
-24.8000E-06,-11.6599062383E+00
-24.7000E-06,-11.6403749883E+00
-24.6000E-06,-11.7966249883E+00
-24.5000E-06,-11.7868593633E+00
-24.4000E-06,-11.6306093633E+00
-24.3000E-06,-11.6306093633E+00
-24.2000E-06,-11.6306093633E+00
-24.1000E-06,-11.6110781133E+00
-24.0000E-06,-11.6110781133E+00
-23.9000E-06,-11.5915468633E+00
-23.8000E-06,-11.5915468633E+00
-23.7000E-06,-11.5817812383E+00
-23.6000E-06,-11.5817812383E+00
-23.5000E-06,-11.5622499883E+00
-23.4000E-06,-11.5622499883E+00
-23.3000E-06,-11.4059999883E+00
-23.2000E-06,-11.5524843633E+00
-23.1000E-06,-11.5524843633E+00
-23.0000E-06,-11.3767031133E+00
-22.9000E-06,-11.5329531133E+00
-22.8000E-06,-11.3767031133E+00
-22.7000E-06,-11.5231874883E+00
-22.6000E-06,-11.3669374883E+00
-22.5000E-06,-11.3669374883E+00
-22.4000E-06,-11.3669374883E+00
-22.3000E-06,-11.3669374883E+00
-22.2000E-06,-11.3474062383E+00
-22.1000E-06,-11.3474062383E+00
-22.0000E-06,-11.3474062383E+00
-21.9000E-06,-11.3376406133E+00
-21.8000E-06,-11.3376406133E+00
-21.7000E-06,-11.3376406133E+00
-21.6000E-06,-11.3376406133E+00
-21.5000E-06,-11.3181093633E+00
-21.4000E-06,-11.3181093633E+00
-21.3000E-06,-11.3181093633E+00
-21.2000E-06,-11.3181093633E+00
-21.1000E-06,-11.1618593633E+00
