x-axis,1,2,MATH
second,Volt,Volt,Volt
-41.4000E-06,+6.1348436293E+00,+6.1827342984E+00,+47.8565633E-03
-41.3000E-06,+6.2258592556E+00,+6.2549999245E+00,+29.1065630E-03
-41.2000E-06,+6.1867967550E+00,+6.2049999237E+00,+18.1690628E-03
-41.1000E-06,+6.1813280050E+00,+6.2073436737E+00,+25.9815629E-03
-41.0000E-06,+6.1817186300E+00,+6.2061717987E+00,+24.4190629E-03
-40.9000E-06,+6.1793748799E+00,+6.2030467987E+00,+23.6378129E-03
-40.8000E-06,+6.1739061298E+00,+6.1979686736E+00,+24.0284379E-03
-40.7000E-06,+6.1688280048E+00,+6.1924999235E+00,+23.6378129E-03
-40.6000E-06,+6.1629686297E+00,+6.1870311734E+00,+24.0284379E-03
-40.5000E-06,+6.1574998796E+00,+6.1819530484E+00,+24.4190629E-03
-40.4000E-06,+6.1520311295E+00,+6.1749217983E+00,+22.8565629E-03
-40.3000E-06,+6.1453905044E+00,+6.1682811732E+00,+22.8565629E-03
-40.2000E-06,+6.1395311293E+00,+6.1616405481E+00,+22.0753129E-03
-40.1000E-06,+6.1332811292E+00,+6.1557811730E+00,+22.4659379E-03
-40.0000E-06,+6.1266405041E+00,+6.1491405479E+00,+22.4659379E-03
-39.9000E-06,+6.1203905040E+00,+6.1428905478E+00,+22.4659379E-03
-39.8000E-06,+6.1129686289E+00,+6.1350780477E+00,+22.0753129E-03
-39.7000E-06,+6.1063280038E+00,+6.1288280476E+00,+22.4659379E-03
-39.6000E-06,+6.0992967537E+00,+6.1217967975E+00,+22.4659379E-03
-39.5000E-06,+6.0930467536E+00,+6.1155467974E+00,+22.4659379E-03
-39.4000E-06,+6.0871873786E+00,+6.1092967973E+00,+22.0753129E-03
-39.3000E-06,+6.0817186285E+00,+6.1038280472E+00,+22.0753129E-03
-39.2000E-06,+6.0754686284E+00,+6.0975780471E+00,+22.0753129E-03
-39.1000E-06,+6.0699998783E+00,+6.0928905470E+00,+22.8565629E-03
-39.0000E-06,+6.0653123782E+00,+6.0870311719E+00,+21.6846879E-03
-38.9000E-06,+6.0594530031E+00,+6.0827342969E+00,+23.2471879E-03
-38.8000E-06,+6.0563280031E+00,+6.0780467968E+00,+21.6846879E-03
-38.7000E-06,+6.0508592530E+00,+6.0733592967E+00,+22.4659379E-03
-38.6000E-06,+6.0473436280E+00,+6.0690624217E+00,+21.6846879E-03
-38.5000E-06,+6.0434373779E+00,+6.0651561716E+00,+21.6846879E-03
-38.4000E-06,+6.0399217528E+00,+6.0624217966E+00,+22.4659379E-03
-38.3000E-06,+6.0371873778E+00,+6.0589061715E+00,+21.6846879E-03
-38.2000E-06,+6.0340623778E+00,+6.0565624215E+00,+22.4659379E-03
-38.1000E-06,+6.0313280027E+00,+6.0542186715E+00,+22.8565629E-03
-38.0000E-06,+6.0278123777E+00,+6.0514842964E+00,+23.6378129E-03
-37.9000E-06,+6.0254686276E+00,+6.0499217964E+00,+24.4190629E-03
-37.8000E-06,+6.0227342526E+00,+6.0475780464E+00,+24.8096879E-03
-37.7000E-06,+6.0215623776E+00,+6.0456249213E+00,+24.0284379E-03
-37.6000E-06,+6.0192186275E+00,+6.0440624213E+00,+24.8096879E-03
-37.5000E-06,+6.0172655025E+00,+6.0424999213E+00,+25.2003129E-03
-37.4000E-06,+6.0157030025E+00,+6.0409374213E+00,+25.2003129E-03
-37.3000E-06,+6.0149217525E+00,+6.0401561712E+00,+25.2003129E-03
-37.2000E-06,+6.0137498775E+00,+6.0389842962E+00,+25.2003129E-03
-37.1000E-06,+6.0125780024E+00,+6.0378124212E+00,+25.2003129E-03
-37.0000E-06,+6.0117967524E+00,+6.0370311712E+00,+25.2003129E-03
-36.9000E-06,+6.0106248774E+00,+6.0374217962E+00,+26.7628129E-03
-36.8000E-06,+6.0098436274E+00,+6.0362499212E+00,+26.3721879E-03
-36.7000E-06,+6.0094530024E+00,+6.0358592962E+00,+26.3721879E-03
-36.6000E-06,+6.0090623774E+00,+6.0354686712E+00,+26.3721879E-03
-36.5000E-06,+6.0086717524E+00,+6.0354686712E+00,+26.7628129E-03
-36.4000E-06,+6.0078905024E+00,+6.0346874212E+00,+26.7628129E-03
-36.3000E-06,+6.0074998774E+00,+6.0350780462E+00,+27.5440629E-03
-36.2000E-06,+6.0082811274E+00,+6.0350780462E+00,+26.7628129E-03
-36.1000E-06,+6.0078905024E+00,+6.0346874212E+00,+26.7628129E-03
-36.0000E-06,+6.0071092524E+00,+6.0350780462E+00,+27.9346880E-03
-35.9000E-06,+6.0071092524E+00,+6.0354686712E+00,+28.3253130E-03
-35.8000E-06,+6.0074998774E+00,+6.0342967962E+00,+26.7628129E-03
-35.7000E-06,+6.0063280023E+00,+6.0350780462E+00,+28.7159380E-03
-35.6000E-06,+6.0067186274E+00,+6.0358592962E+00,+29.1065630E-03
-35.5000E-06,+6.0067186274E+00,+6.0350780462E+00,+28.3253130E-03
-35.4000E-06,+6.0063280023E+00,+6.0358592962E+00,+29.4971880E-03
-35.3000E-06,+6.0059373773E+00,+6.0354686712E+00,+29.4971880E-03
-35.2000E-06,+6.0055467523E+00,+6.0358592962E+00,+30.2784380E-03
-35.1000E-06,+6.0055467523E+00,+6.0358592962E+00,+30.2784380E-03
-35.0000E-06,+6.0043748773E+00,+6.0358592962E+00,+31.4503130E-03
-34.9000E-06,+6.0039842523E+00,+6.0354686712E+00,+31.4503130E-03
-34.8000E-06,+6.0047655023E+00,+6.0354686712E+00,+30.6690630E-03
-34.7000E-06,+6.0043748773E+00,+6.0350780462E+00,+30.6690630E-03
-34.6000E-06,+6.0024217523E+00,+6.0354686712E+00,+33.0128130E-03
-34.5000E-06,+6.0035936273E+00,+6.0350780462E+00,+31.4503130E-03
-34.4000E-06,+6.0024217523E+00,+6.0346874212E+00,+32.2315630E-03
-34.3000E-06,+6.0016405023E+00,+6.0342967962E+00,+32.6221880E-03
-34.2000E-06,+6.0004686273E+00,+6.0335155462E+00,+33.0128130E-03
-34.1000E-06,+5.9996873772E+00,+6.0319530461E+00,+32.2315630E-03
-34.0000E-06,+5.9985155022E+00,+6.0319530461E+00,+33.4034380E-03
-33.9000E-06,+5.9973436272E+00,+6.0311717961E+00,+33.7940630E-03
-33.8000E-06,+5.9969530022E+00,+6.0303905461E+00,+33.4034380E-03
-33.7000E-06,+5.9969530022E+00,+6.0307811711E+00,+33.7940630E-03
-33.6000E-06,+5.9949998772E+00,+6.0311717961E+00,+36.1378131E-03
-33.5000E-06,+5.9946092522E+00,+6.0296092961E+00,+34.9659381E-03
-33.4000E-06,+5.9930467521E+00,+6.0284374211E+00,+35.3565631E-03
-33.3000E-06,+5.9918748771E+00,+6.0272655461E+00,+35.3565631E-03
-33.2000E-06,+5.9907030021E+00,+6.0257030460E+00,+34.9659381E-03
-33.1000E-06,+5.9895311271E+00,+6.0249217960E+00,+35.3565631E-03
-33.0000E-06,+5.9879686271E+00,+6.0245311710E+00,+36.5284381E-03
-32.9000E-06,+5.9875780021E+00,+6.0237499210E+00,+36.1378131E-03
-32.8000E-06,+5.9864061270E+00,+6.0229686710E+00,+36.5284381E-03
-32.7000E-06,+5.9844530020E+00,+6.0217967960E+00,+37.3096881E-03
-32.6000E-06,+5.9836717520E+00,+6.0214061710E+00,+37.7003131E-03
-32.5000E-06,+5.9824998770E+00,+6.0198436709E+00,+37.3096881E-03
-32.4000E-06,+5.9817186270E+00,+6.0194530459E+00,+37.7003131E-03
-32.3000E-06,+5.9805467520E+00,+6.0178905459E+00,+37.3096881E-03
-32.2000E-06,+5.9805467520E+00,+6.0174999209E+00,+36.9190631E-03
-32.1000E-06,+5.9793748769E+00,+6.0163280459E+00,+36.9190631E-03
-32.0000E-06,+5.9770311269E+00,+6.0155467959E+00,+38.4815631E-03
-31.9000E-06,+5.9770311269E+00,+6.0147655459E+00,+37.7003131E-03
-31.8000E-06,+5.9750780019E+00,+6.0139842959E+00,+38.8721881E-03
-31.7000E-06,+5.9746873769E+00,+6.0132030458E+00,+38.4815631E-03
-31.6000E-06,+5.9739061269E+00,+6.0124217958E+00,+38.4815631E-03
-31.5000E-06,+5.9727342518E+00,+6.0116405458E+00,+38.8721881E-03
-31.4000E-06,+5.9715623768E+00,+6.0112499208E+00,+39.6534381E-03
-31.3000E-06,+5.9699998768E+00,+6.0104686708E+00,+40.4346881E-03
-31.2000E-06,+5.9696092518E+00,+6.0096874208E+00,+40.0440631E-03
-31.1000E-06,+5.9680467518E+00,+6.0081249208E+00,+40.0440631E-03
-31.0000E-06,+5.9664842518E+00,+6.0077342958E+00,+41.2159382E-03
-30.9000E-06,+5.9660936267E+00,+6.0073436708E+00,+41.2159382E-03
-30.8000E-06,+5.9653123767E+00,+6.0061717957E+00,+40.8253131E-03
-30.7000E-06,+5.9645311267E+00,+6.0065624207E+00,+41.9971882E-03
-30.6000E-06,+5.9637498767E+00,+6.0057811707E+00,+41.9971882E-03
-30.5000E-06,+5.9637498767E+00,+6.0057811707E+00,+41.9971882E-03
-30.4000E-06,+5.9621873767E+00,+6.0049999207E+00,+42.7784382E-03
-30.3000E-06,+5.9614061267E+00,+6.0046092957E+00,+43.1690632E-03
-30.2000E-06,+5.9610155017E+00,+6.0038280457E+00,+42.7784382E-03
-30.1000E-06,+5.9598436267E+00,+6.0034374207E+00,+43.5596882E-03
-30.0000E-06,+5.9586717516E+00,+6.0026561707E+00,+43.9503132E-03
-29.9000E-06,+5.9582811266E+00,+6.0018749207E+00,+43.5596882E-03
-29.8000E-06,+5.9571092516E+00,+6.0014842957E+00,+44.3409382E-03
-29.7000E-06,+5.9559373766E+00,+6.0010936707E+00,+45.1221882E-03
-29.6000E-06,+5.9555467516E+00,+6.0003124207E+00,+44.7315632E-03
-29.5000E-06,+5.9551561266E+00,+6.0003124207E+00,+45.1221882E-03
-29.4000E-06,+5.9535936266E+00,+5.9991405456E+00,+45.5128132E-03
-29.3000E-06,+5.9532030016E+00,+5.9987499206E+00,+45.5128132E-03
-29.2000E-06,+5.9532030016E+00,+5.9983592956E+00,+45.1221882E-03
-29.1000E-06,+5.9516405015E+00,+5.9979686706E+00,+46.2940632E-03
-29.0000E-06,+5.9504686265E+00,+5.9967967956E+00,+46.2940632E-03
-28.9000E-06,+5.9496873765E+00,+5.9960155456E+00,+46.2940632E-03
-28.8000E-06,+5.9489061265E+00,+5.9956249206E+00,+46.6846882E-03
-28.7000E-06,+5.9481248765E+00,+5.9952342956E+00,+47.0753132E-03
-28.6000E-06,+5.9477342515E+00,+5.9944530456E+00,+46.6846882E-03
-28.5000E-06,+5.9469530015E+00,+5.9944530456E+00,+47.4659382E-03
-28.4000E-06,+5.9461717514E+00,+5.9932811706E+00,+47.0753132E-03
-28.3000E-06,+5.9457811264E+00,+5.9928905455E+00,+47.0753132E-03
-28.2000E-06,+5.9449998764E+00,+5.9936717956E+00,+48.6378133E-03
-28.1000E-06,+5.9418748764E+00,+5.9913280455E+00,+49.4190633E-03
-28.0000E-06,+5.9442186264E+00,+5.9924999205E+00,+48.2471883E-03
-27.9000E-06,+5.9414842514E+00,+5.9905467955E+00,+49.0284383E-03
-27.8000E-06,+5.9418748764E+00,+5.9909374205E+00,+49.0284383E-03
-27.7000E-06,+5.9403123764E+00,+5.9901561705E+00,+49.8096883E-03
-27.6000E-06,+5.9407030014E+00,+5.9893749205E+00,+48.6378133E-03
-27.5000E-06,+5.9387498763E+00,+5.9882030455E+00,+49.4190633E-03
-27.4000E-06,+5.9383592513E+00,+5.9874217955E+00,+49.0284383E-03
