x-axis,1,3,MATH
second,Volt,Volt,Volt
+33.610000E-06,+16.281250000000E+00,-468.750000000E-03,-736.278116703E-03
+33.611000E-06,+16.281250000000E+00,-546.875000000E-03,-736.278116703E-03
+33.612000E-06,+16.281250000000E+00,-625.000000000E-03,-658.153116703E-03
+33.613000E-06,+16.281250000000E+00,-625.000000000E-03,-736.278116702E-03
+33.614000E-06,+16.281250000001E+00,-625.000000000E-03,-658.153116703E-03
+33.615000E-06,+16.359375000000E+00,-625.000000000E-03,-658.153116705E-03
+33.616000E-06,+16.359374999999E+00,-625.000000000E-03,-814.403116701E-03
+33.617000E-06,+16.281250000000E+00,-624.999999999E-03,-658.153116706E-03
+33.618000E-06,+16.281250000002E+00,-546.875000001E-03,-814.403116703E-03
+33.619000E-06,+16.359374999998E+00,-625.000000000E-03,-814.403116703E-03
+33.620000E-06,+16.281250000000E+00,-625.000000002E-03,-814.403116701E-03
+33.621000E-06,+16.281250000002E+00,-703.124999998E-03,-736.278116705E-03
+33.622000E-06,+16.359375000000E+00,-625.000000000E-03,-814.403116703E-03
+33.623000E-06,+16.359375000000E+00,-625.000000000E-03,-814.403116703E-03
+33.624000E-06,+16.359375000000E+00,-625.000000000E-03,-814.403116706E-03
+33.625000E-06,+16.359375000000E+00,-624.999999995E-03,-892.528116700E-03
+33.626000E-06,+16.359374999997E+00,-468.750000003E-03,-814.403116700E-03
+33.627000E-06,+16.281250000000E+00,-546.875000000E-03,-736.278116703E-03
+33.628000E-06,+16.281250000003E+00,-546.875000003E-03,-736.278116709E-03
+33.629000E-06,+16.359375000000E+00,-624.999999997E-03,-892.528116696E-03
+33.630000E-06,+16.359375000004E+00,-546.875000004E-03,-736.278116707E-03
+33.631000E-06,+16.437499999996E+00,-624.999999993E-03,-814.403116699E-03
+33.632000E-06,+16.359375000000E+00,-468.750000008E-03,-736.278116707E-03
+33.633000E-06,+16.359375000000E+00,-624.999999996E-03,-814.403116699E-03
+33.634000E-06,+16.359374999996E+00,-546.875000000E-03,-736.278116703E-03
+33.635000E-06,+16.281250000000E+00,-546.875000004E-03,-736.278116699E-03
+33.636000E-06,+16.281250000000E+00,-625.000000000E-03,-658.153116708E-03
+33.637000E-06,+16.281250000005E+00,-625.000000000E-03,-736.278116703E-03
+33.638000E-06,+16.359375000005E+00,-625.000000000E-03,-736.278116708E-03
+33.639000E-06,+16.437499999990E+00,-625.000000000E-03,-814.403116698E-03
+33.640000E-06,+16.281250000005E+00,-625.000000000E-03,-736.278116714E-03
+33.641000E-06,+16.359374999995E+00,-624.999999995E-03,-892.528116692E-03
+33.642000E-06,+16.281250000006E+00,-546.874999994E-03,-736.278116703E-03
+33.643000E-06,+16.359374999994E+00,-468.750000012E-03,-736.278116709E-03
+33.644000E-06,+16.281249999994E+00,-624.999999994E-03,-814.403116691E-03
+33.645000E-06,+16.203125000006E+00,-546.875000000E-03,-658.153116709E-03
+33.646000E-06,+16.281250000006E+00,-546.875000006E-03,-736.278116716E-03
+33.647000E-06,+16.359374999994E+00,-624.999999994E-03,-892.528116697E-03
+33.648000E-06,+16.281250000000E+00,-546.875000007E-03,-814.403116703E-03
+33.649000E-06,+16.281250000000E+00,-625.000000000E-03,-814.403116703E-03
+33.650000E-06,+16.281250000000E+00,-625.000000000E-03,-814.403116696E-03
+33.651000E-06,+16.281250000007E+00,-625.000000000E-03,-736.278116710E-03
+33.652000E-06,+16.359375000000E+00,-625.000000000E-03,-814.403116696E-03
+33.653000E-06,+16.359374999985E+00,-625.000000000E-03,-736.278116688E-03
+33.654000E-06,+16.203125000015E+00,-625.000000000E-03,-580.028116718E-03
+33.655000E-06,+16.359374999984E+00,-624.999999992E-03,-736.278116695E-03
+33.656000E-06,+16.203125000008E+00,-546.875000008E-03,-658.153116719E-03
+33.657000E-06,+16.281249999992E+00,-624.999999984E-03,-814.403116695E-03
+33.658000E-06,+16.203125000017E+00,-468.750000017E-03,-736.278116711E-03
+33.659000E-06,+16.359374999992E+00,-625.000000000E-03,-814.403116695E-03
+33.660000E-06,+16.281249999991E+00,-625.000000009E-03,-736.278116694E-03
+33.661000E-06,+16.203125000000E+00,-703.124999991E-03,-658.153116703E-03
+33.662000E-06,+16.203125000009E+00,-625.000000009E-03,-658.153116703E-03
+33.663000E-06,+16.281250000000E+00,-703.125000000E-03,-658.153116712E-03
+33.664000E-06,+16.281250000000E+00,-703.124999991E-03,-736.278116703E-03
+33.665000E-06,+16.281250000000E+00,-624.999999990E-03,-736.278116703E-03
+33.666000E-06,+16.281250000000E+00,-546.875000010E-03,-736.278116713E-03
+33.667000E-06,+16.281250000000E+00,-624.999999990E-03,-814.403116683E-03
+33.668000E-06,+16.281250000010E+00,-546.875000010E-03,-658.153116723E-03
+33.669000E-06,+16.359374999990E+00,-625.000000000E-03,-814.403116683E-03
+33.670000E-06,+16.281250000021E+00,-625.000000000E-03,-658.153116724E-03
+33.671000E-06,+16.437499999968E+00,-625.000000000E-03,-814.403116692E-03
+33.672000E-06,+16.203125000011E+00,-625.000000000E-03,-736.278116714E-03
+33.673000E-06,+16.281249999989E+00,-625.000000000E-03,-814.403116692E-03
+33.674000E-06,+16.203125000022E+00,-624.999999989E-03,-736.278116714E-03
+33.675000E-06,+16.359374999989E+00,-546.875000000E-03,-814.403116681E-03
+33.676000E-06,+16.281249999989E+00,-546.875000011E-03,-658.153116703E-03
+33.677000E-06,+16.203125000023E+00,-625.000000000E-03,-658.153116715E-03
+33.678000E-06,+16.359375000000E+00,-625.000000012E-03,-736.278116703E-03
+33.679000E-06,+16.359374999988E+00,-703.124999988E-03,-736.278116715E-03
+33.680000E-06,+16.281250000000E+00,-625.000000012E-03,-814.403116679E-03
+33.681000E-06,+16.281249999988E+00,-703.124999988E-03,-658.153116715E-03
+33.682000E-06,+16.203125000000E+00,-625.000000000E-03,-736.278116715E-03
+33.683000E-06,+16.203125000025E+00,-625.000000000E-03,-814.403116716E-03
+33.684000E-06,+16.359374999987E+00,-624.999999987E-03,-892.528116677E-03
+33.685000E-06,+16.281250000013E+00,-546.875000000E-03,-736.278116729E-03
+33.686000E-06,+16.359375000013E+00,-546.875000000E-03,-892.528116703E-03
+33.687000E-06,+16.437499999973E+00,-546.875000000E-03,-892.528116703E-03
+33.688000E-06,+16.281250000000E+00,-546.875000000E-03,-892.528116690E-03
+33.689000E-06,+16.281250000000E+00,-546.874999986E-03,-814.403116689E-03
+33.690000E-06,+16.281250000000E+00,-468.750000000E-03,-736.278116703E-03
+33.691000E-06,+16.281250000000E+00,-468.750000028E-03,-736.278116689E-03
+33.692000E-06,+16.281250000000E+00,-624.999999972E-03,-658.153116689E-03
+33.693000E-06,+16.281250000000E+00,-468.750000000E-03,-580.028116732E-03
+33.694000E-06,+16.281250000015E+00,-468.750000015E-03,-736.278116703E-03
+33.695000E-06,+16.359374999971E+00,-546.875000000E-03,-736.278116703E-03
+33.696000E-06,+16.203125000000E+00,-546.875000000E-03,-736.278116703E-03
+33.697000E-06,+16.203125000015E+00,-546.875000015E-03,-736.278116718E-03
+33.698000E-06,+16.281250000000E+00,-625.000000000E-03,-814.403116703E-03
+33.699000E-06,+16.281250000015E+00,-624.999999985E-03,-814.403116718E-03
+33.700000E-06,+16.359375000000E+00,-546.875000016E-03,-892.528116687E-03
+33.701000E-06,+16.359374999984E+00,-625.000000000E-03,-814.403116687E-03
+33.702000E-06,+16.281250000000E+00,-625.000000000E-03,-736.278116703E-03
+33.703000E-06,+16.281250000000E+00,-625.000000000E-03,-736.278116735E-03
+33.704000E-06,+16.281250000000E+00,-625.000000000E-03,-892.528116687E-03
+33.705000E-06,+16.281250000000E+00,-624.999999967E-03,-814.403116703E-03
+33.706000E-06,+16.281250000000E+00,-468.750000033E-03,-814.403116686E-03
+33.707000E-06,+16.281250000000E+00,-624.999999983E-03,-736.278116703E-03
+33.708000E-06,+16.281250000000E+00,-546.875000000E-03,-736.278116703E-03
+33.709000E-06,+16.281250000017E+00,-546.875000000E-03,-736.278116720E-03
