x-axis,1,2,MATH
second,Volt,Volt,Volt
-1.36000E-06,+5.98695296425E+00,+5.99859371030E+00,+11.61859321E-03
-1.34000E-06,+5.98539046422E+00,+5.99976558532E+00,+14.35296825E-03
-1.32000E-06,+5.98734358925E+00,+5.99976558532E+00,+12.39984322E-03
-1.30000E-06,+5.98656233924E+00,+5.99781246029E+00,+11.22796820E-03
-1.28000E-06,+5.98734358925E+00,+5.99624996027E+00,+8.88421816E-03
-1.26000E-06,+5.98734358925E+00,+5.99703121028E+00,+9.66546818E-03
-1.24000E-06,+5.98499983922E+00,+5.99624996027E+00,+11.22796820E-03
-1.22000E-06,+5.98460921421E+00,+5.99664058528E+00,+12.00921821E-03
-1.20000E-06,+5.98539046422E+00,+5.99703121028E+00,+11.61859321E-03
-1.18000E-06,+5.98343733919E+00,+5.99624996027E+00,+12.79046822E-03
-1.16000E-06,+5.98578108923E+00,+5.99703121028E+00,+11.22796820E-03
-1.14000E-06,+5.98499983922E+00,+5.99624996027E+00,+11.22796820E-03
-1.12000E-06,+5.98343733919E+00,+5.99624996027E+00,+12.79046822E-03
-1.10000E-06,+5.98265608918E+00,+5.99546871026E+00,+12.79046822E-03
-1.08000E-06,+5.98343733919E+00,+5.99624996027E+00,+12.79046822E-03
-1.06000E-06,+5.98421858920E+00,+5.99546871026E+00,+11.22796820E-03
-1.04000E-06,+5.98421858920E+00,+5.99624996027E+00,+12.00921821E-03
-1.02000E-06,+5.98148421416E+00,+5.99703121028E+00,+15.52484326E-03
-1.00000E-06,+5.98265608918E+00,+5.99546871026E+00,+12.79046822E-03
-980.00E-09,+5.98187483917E+00,+5.99585933526E+00,+13.96234324E-03
-960.00E-09,+5.98148421416E+00,+5.99429683524E+00,+12.79046822E-03
-940.00E-09,+5.98031233915E+00,+5.99429683524E+00,+13.96234324E-03
-920.00E-09,+5.98070296415E+00,+5.99585933526E+00,+15.13421826E-03
-900.00E-09,+5.98148421416E+00,+5.99703121028E+00,+15.52484326E-03
-880.00E-09,+5.98187483917E+00,+5.99624996027E+00,+14.35296825E-03
-860.00E-09,+5.97992171414E+00,+5.99390621023E+00,+13.96234324E-03
-840.00E-09,+5.98031233915E+00,+5.99546871026E+00,+15.13421826E-03
-820.00E-09,+5.98031233915E+00,+5.99468746025E+00,+14.35296825E-03
-800.00E-09,+5.98187483917E+00,+5.99624996027E+00,+14.35296825E-03
-780.00E-09,+5.98031233915E+00,+5.99429683524E+00,+13.96234324E-03
-760.00E-09,+5.97914046413E+00,+5.99390621023E+00,+14.74359325E-03
-740.00E-09,+5.97992171414E+00,+5.99429683524E+00,+14.35296825E-03
-720.00E-09,+5.98070296415E+00,+5.99273433522E+00,+12.00921821E-03
-700.00E-09,+5.97874983912E+00,+5.99312496022E+00,+14.35296825E-03
-680.00E-09,+5.97874983912E+00,+5.99273433522E+00,+13.96234324E-03
-660.00E-09,+5.97757796411E+00,+5.99273433522E+00,+15.13421826E-03
-640.00E-09,+5.97874983912E+00,+5.99273433522E+00,+13.96234324E-03
-620.00E-09,+5.97914046413E+00,+5.99351558523E+00,+14.35296825E-03
-600.00E-09,+5.97757796411E+00,+5.99273433522E+00,+15.13421826E-03
-580.00E-09,+5.97796858911E+00,+5.99156246020E+00,+13.57171823E-03
-560.00E-09,+5.97796858911E+00,+5.99234371021E+00,+14.35296825E-03
-540.00E-09,+5.97718733910E+00,+5.99234371021E+00,+15.13421826E-03
-520.00E-09,+5.97562483908E+00,+5.99351558523E+00,+17.86859330E-03
-500.00E-09,+5.97640608909E+00,+5.99390621023E+00,+17.47796829E-03
-480.00E-09,+5.97601546408E+00,+5.99234371021E+00,+16.30609328E-03
-460.00E-09,+5.97562483908E+00,+5.99312496022E+00,+17.47796829E-03
-440.00E-09,+5.97796858911E+00,+5.99390621023E+00,+15.91546827E-03
-420.00E-09,+5.97406233905E+00,+5.98999996018E+00,+15.91546827E-03
-400.00E-09,+5.97484358907E+00,+5.99078121019E+00,+15.91546827E-03
-380.00E-09,+5.97289046404E+00,+5.98765621014E+00,+14.74359325E-03
-360.00E-09,+5.97484358907E+00,+5.99156246020E+00,+16.69671828E-03
-340.00E-09,+5.97171858902E+00,+5.99195308521E+00,+20.21234333E-03
-320.00E-09,+5.97562483908E+00,+5.99234371021E+00,+16.69671828E-03
-300.00E-09,+5.97640608909E+00,+5.99273433522E+00,+16.30609328E-03
-280.00E-09,+5.97484358907E+00,+5.98843746015E+00,+13.57171823E-03
-260.00E-09,+5.97406233905E+00,+5.99039058518E+00,+16.30609328E-03
-240.00E-09,+5.97367171405E+00,+5.99234371021E+00,+18.64984331E-03
-220.00E-09,+5.97562483908E+00,+5.99078121019E+00,+15.13421826E-03
-200.00E-09,+5.97484358907E+00,+5.98921871017E+00,+14.35296825E-03
-180.00E-09,+5.97484358907E+00,+5.98999996018E+00,+15.13421826E-03
-160.00E-09,+5.97289046404E+00,+5.99117183519E+00,+18.25921830E-03
-140.00E-09,+5.97171858902E+00,+5.98999996018E+00,+18.25921830E-03
-120.00E-09,+5.96976546399E+00,+5.98765621014E+00,+17.86859330E-03
-100.00E-09,+5.96742171395E+00,+5.98453121010E+00,+17.08734329E-03
-80.00E-09,+5.96390608890E+00,+5.98453121010E+00,+20.60296834E-03
-60.00E-09,+5.95921858883E+00,+5.98296871007E+00,+23.72796839E-03
-40.00E-09,+5.94789046366E+00,+5.97515620996E+00,+27.24359344E-03
-20.00E-09,+5.85140608723E+00,+5.67749995552E+00,-173.92828456E-03
+0.0E+00,+6.09593734087E+00,+6.04195308595E+00,-54.00640777E-03
+20.00E-09,+5.99359358934E+00,+5.98765621014E+00,-5.95953206E-03
+40.00E-09,+5.95960921384E+00,+6.00249996036E+00,+42.86859367E-03
+60.00E-09,+5.89554671288E+00,+5.94937495957E+00,+53.80609383E-03
+80.00E-09,+5.93304671344E+00,+5.97554683496E+00,+42.47796867E-03
+100.00E-09,+5.90804671307E+00,+5.95210933461E+00,+44.04046869E-03
+120.00E-09,+5.93890608853E+00,+5.97437495994E+00,+35.44671856E-03
+140.00E-09,+5.91351546315E+00,+5.96343745978E+00,+49.89984378E-03
+160.00E-09,+5.93031233840E+00,+5.96382808479E+00,+33.49359353E-03
+180.00E-09,+5.92445296331E+00,+5.96460933480E+00,+40.13421863E-03
+200.00E-09,+5.92953108839E+00,+5.96109370975E+00,+31.54046850E-03
+220.00E-09,+5.93304671344E+00,+5.97046870989E+00,+37.39984359E-03
+240.00E-09,+5.92953108839E+00,+5.96382808479E+00,+34.27484354E-03
+260.00E-09,+5.93499983847E+00,+5.97164058490E+00,+36.61859358E-03
+280.00E-09,+5.92914046338E+00,+5.96421870979E+00,+35.05609355E-03
+300.00E-09,+5.93265608844E+00,+5.97007808488E+00,+37.39984359E-03
+320.00E-09,+5.93187483842E+00,+5.96968745987E+00,+37.79046860E-03
+340.00E-09,+5.93695296350E+00,+5.97164058490E+00,+34.66546855E-03
+360.00E-09,+5.93421858846E+00,+5.97007808488E+00,+35.83734357E-03
+380.00E-09,+5.93851546352E+00,+5.97281245992E+00,+34.27484354E-03
+400.00E-09,+5.93578108848E+00,+5.97398433494E+00,+38.18109360E-03
+420.00E-09,+5.93773421351E+00,+5.97359370993E+00,+35.83734357E-03
+440.00E-09,+5.93734358851E+00,+5.97437495994E+00,+37.00921858E-03
+460.00E-09,+5.93929671354E+00,+5.97398433494E+00,+34.66546855E-03
+480.00E-09,+5.94203108858E+00,+5.97710933498E+00,+35.05609355E-03
+500.00E-09,+5.94007796355E+00,+5.97749995999E+00,+37.39984359E-03
+520.00E-09,+5.94359358860E+00,+5.98062496004E+00,+37.00921858E-03
+540.00E-09,+5.94437483861E+00,+5.97828121000E+00,+33.88421854E-03
+560.00E-09,+5.94554671363E+00,+5.97945308502E+00,+33.88421854E-03
+580.00E-09,+5.94710921365E+00,+5.98179683505E+00,+34.66546855E-03
+600.00E-09,+5.94749983866E+00,+5.98296871007E+00,+35.44671856E-03
+620.00E-09,+5.94906233868E+00,+5.98453121010E+00,+35.44671856E-03
+640.00E-09,+5.94906233868E+00,+5.98414058509E+00,+35.05609355E-03
+660.00E-09,+5.95218733873E+00,+5.98492183510E+00,+32.71234352E-03
+680.00E-09,+5.95062483870E+00,+5.98648433512E+00,+35.83734357E-03
+700.00E-09,+5.95179671372E+00,+5.98648433512E+00,+34.66546855E-03
+720.00E-09,+5.95609358879E+00,+5.98726558514E+00,+31.14984350E-03
+740.00E-09,+5.95765608881E+00,+5.98843746015E+00,+30.75921849E-03
+760.00E-09,+5.95726546380E+00,+5.99117183519E+00,+33.88421854E-03
+780.00E-09,+5.95804671381E+00,+5.99312496022E+00,+35.05609355E-03
+800.00E-09,+5.95843733882E+00,+5.99312496022E+00,+34.66546855E-03
+820.00E-09,+5.96156233887E+00,+5.99351558523E+00,+31.93109351E-03
+840.00E-09,+5.96468733891E+00,+5.99273433522E+00,+28.02484345E-03
+860.00E-09,+5.96468733891E+00,+5.99507808525E+00,+30.36859349E-03
+880.00E-09,+5.96546858893E+00,+5.99781246029E+00,+32.32171851E-03
+900.00E-09,+5.96703108895E+00,+5.99898433531E+00,+31.93109351E-03
+920.00E-09,+5.96859358897E+00,+5.99898433531E+00,+30.36859349E-03
+940.00E-09,+5.96937483898E+00,+6.00015621033E+00,+30.75921849E-03
+960.00E-09,+5.96976546399E+00,+6.00171871035E+00,+31.93109351E-03
+980.00E-09,+5.97132796401E+00,+6.00562496041E+00,+34.27484354E-03
+1.00000E-06,+5.97367171405E+00,+6.00484371040E+00,+31.14984350E-03
+1.02000E-06,+5.97445296406E+00,+6.00445308539E+00,+29.97796848E-03
