x-axis,3,4
second,Volt,Volt
+24.222000E-06,+14.300000190735E+00,+5.856249809265E+00
+24.224000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.226000E-06,+14.292187690735E+00,+5.879687309265E+00
+24.228000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.230000E-06,+14.323437690735E+00,+5.871874809265E+00
+24.232000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.234000E-06,+14.300000190735E+00,+5.856249809265E+00
+24.236000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.238000E-06,+14.300000190735E+00,+5.887499809265E+00
+24.240000E-06,+14.300000190735E+00,+5.879687309265E+00
+24.242000E-06,+14.300000190735E+00,+5.871874809265E+00
+24.244000E-06,+14.292187690735E+00,+5.856249809265E+00
+24.246000E-06,+14.300000190735E+00,+5.856249809265E+00
+24.248000E-06,+14.300000190735E+00,+5.879687309265E+00
+24.250000E-06,+14.307812690735E+00,+5.879687309265E+00
+24.252000E-06,+14.307812690735E+00,+5.864062309265E+00
+24.254000E-06,+14.307812690735E+00,+5.864062309265E+00
+24.256000E-06,+14.292187690735E+00,+5.879687309265E+00
+24.258000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.260000E-06,+14.292187690735E+00,+5.887499809265E+00
+24.262000E-06,+14.300000190735E+00,+5.879687309265E+00
+24.264000E-06,+14.292187690735E+00,+5.887499809265E+00
+24.266000E-06,+14.292187690735E+00,+5.879687309265E+00
+24.268000E-06,+14.284375190735E+00,+5.856249809265E+00
+24.270000E-06,+14.300000190735E+00,+5.871874809265E+00
+24.272000E-06,+14.307812690735E+00,+5.879687309265E+00
+24.274000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.276000E-06,+14.284375190735E+00,+5.856249809265E+00
+24.278000E-06,+14.292187690735E+00,+5.840624809266E+00
+24.280000E-06,+14.276562690735E+00,+5.871874809265E+00
+24.282000E-06,+14.300000190735E+00,+5.879687309265E+00
+24.284000E-06,+14.300000190735E+00,+5.864062309265E+00
+24.286000E-06,+14.315625190734E+00,+5.864062309265E+00
+24.288000E-06,+14.284375190735E+00,+5.856249809265E+00
+24.290000E-06,+14.300000190735E+00,+5.864062309265E+00
+24.292000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.294000E-06,+14.307812690735E+00,+5.871874809265E+00
+24.296000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.298000E-06,+14.292187690735E+00,+5.864062309265E+00
+24.300000E-06,+14.292187690735E+00,+5.864062309266E+00
+24.302000E-06,+14.292187690735E+00,+5.887499809265E+00
+24.304000E-06,+14.300000190735E+00,+5.879687309265E+00
+24.306000E-06,+14.315625190734E+00,+5.879687309265E+00
+24.308000E-06,+14.292187690735E+00,+5.856249809265E+00
+24.310000E-06,+14.292187690735E+00,+5.856249809266E+00
+24.312000E-06,+14.300000190735E+00,+5.879687309265E+00
+24.314000E-06,+14.307812690735E+00,+5.879687309265E+00
+24.316000E-06,+14.300000190735E+00,+5.879687309265E+00
+24.318000E-06,+14.292187690735E+00,+5.864062309265E+00
+24.320000E-06,+14.292187690735E+00,+5.864062309265E+00
+24.322000E-06,+14.300000190735E+00,+5.856249809265E+00
+24.324000E-06,+14.284375190736E+00,+5.856249809266E+00
+24.326000E-06,+14.307812690735E+00,+5.871874809265E+00
+24.328000E-06,+14.300000190735E+00,+5.871874809265E+00
+24.330000E-06,+14.300000190734E+00,+5.871874809265E+00
+24.332000E-06,+14.284375190735E+00,+5.848437309265E+00
+24.334000E-06,+14.300000190735E+00,+5.856249809266E+00
+24.336000E-06,+14.292187690735E+00,+5.871874809266E+00
+24.338000E-06,+14.292187690735E+00,+5.895312309264E+00
+24.340000E-06,+14.292187690735E+00,+5.864062309265E+00
+24.342000E-06,+14.292187690735E+00,+5.864062309266E+00
+24.344000E-06,+14.284375190735E+00,+5.887499809265E+00
+24.346000E-06,+14.300000190734E+00,+5.879687309265E+00
+24.348000E-06,+14.284375190735E+00,+5.879687309265E+00
+24.350000E-06,+14.300000190735E+00,+5.864062309265E+00
+24.352000E-06,+14.292187690735E+00,+5.856249809265E+00
+24.354000E-06,+14.292187690735E+00,+5.864062309266E+00
+24.356000E-06,+14.300000190735E+00,+5.879687309266E+00
+24.358000E-06,+14.307812690734E+00,+5.895312309265E+00
+24.360000E-06,+14.292187690735E+00,+5.887499809264E+00
+24.362000E-06,+14.284375190735E+00,+5.864062309265E+00
+24.364000E-06,+14.284375190736E+00,+5.848437309266E+00
+24.366000E-06,+14.307812690734E+00,+5.879687309265E+00
+24.368000E-06,+14.292187690735E+00,+5.887499809265E+00
+24.370000E-06,+14.300000190734E+00,+5.871874809264E+00
+24.372000E-06,+14.276562690736E+00,+5.848437309265E+00
+24.374000E-06,+14.300000190735E+00,+5.848437309266E+00
+24.376000E-06,+14.300000190735E+00,+5.871874809266E+00
+24.378000E-06,+14.300000190735E+00,+5.887499809265E+00
+24.380000E-06,+14.292187690735E+00,+5.887499809264E+00
+24.382000E-06,+14.300000190734E+00,+5.864062309265E+00
+24.384000E-06,+14.276562690736E+00,+5.856249809266E+00
+24.386000E-06,+14.307812690734E+00,+5.879687309265E+00
+24.388000E-06,+14.292187690735E+00,+5.871874809265E+00
+24.390000E-06,+14.284375190735E+00,+5.864062309264E+00
+24.392000E-06,+14.292187690735E+00,+5.840624809266E+00
+24.394000E-06,+14.292187690735E+00,+5.856249809265E+00
+24.396000E-06,+14.292187690735E+00,+5.864062309265E+00
+24.398000E-06,+14.300000190735E+00,+5.871874809265E+00
+24.400000E-06,+14.300000190735E+00,+5.879687309264E+00
+24.402000E-06,+14.300000190735E+00,+5.864062309265E+00
+24.404000E-06,+14.292187690735E+00,+5.856249809265E+00
+24.406000E-06,+14.300000190735E+00,+5.856249809266E+00
+24.408000E-06,+14.300000190735E+00,+5.871874809265E+00
+24.410000E-06,+14.292187690735E+00,+5.864062309265E+00
+24.412000E-06,+14.292187690735E+00,+5.864062309265E+00
