x-axis,3,MATH
second,Volt,Volt
-41.2000E-06,+14.9324226379E+00,+69.5312509E-03
-41.1000E-06,+14.9265632629E+00,+67.5781259E-03
-41.0000E-06,+14.9167976379E+00,+69.1406259E-03
-40.9000E-06,+14.9089851379E+00,+71.0937509E-03
-40.8000E-06,+14.9050788879E+00,+70.3125009E-03
-40.7000E-06,+14.9011726379E+00,+71.4843758E-03
-40.6000E-06,+14.8972663879E+00,+72.6562508E-03
-40.5000E-06,+14.8894538879E+00,+73.0468758E-03
-40.4000E-06,+14.8855476379E+00,+72.6562508E-03
-40.3000E-06,+14.8816413879E+00,+73.4375008E-03
-40.2000E-06,+14.8738288879E+00,+74.2187508E-03
-40.1000E-06,+14.8699226379E+00,+75.0000008E-03
-40.0000E-06,+14.8640632629E+00,+73.4375008E-03
-39.9000E-06,+14.8582038879E+00,+76.1718757E-03
-39.8000E-06,+14.8562507629E+00,+76.5625007E-03
-39.7000E-06,+14.8503913879E+00,+75.3906258E-03
-39.6000E-06,+14.8445320129E+00,+75.0000008E-03
-39.5000E-06,+14.8406257629E+00,+76.1718757E-03
-39.4000E-06,+14.8367195129E+00,+75.0000008E-03
-39.3000E-06,+14.8308601379E+00,+75.7812508E-03
-39.2000E-06,+14.8230476379E+00,+75.3906258E-03
-39.1000E-06,+14.8210945129E+00,+74.6093758E-03
-39.0000E-06,+14.8171882629E+00,+75.0000008E-03
-38.9000E-06,+14.8113288879E+00,+74.2187508E-03
-38.8000E-06,+14.8074226379E+00,+75.0000008E-03
-38.7000E-06,+14.8035163879E+00,+75.3906258E-03
-38.6000E-06,+14.7976570129E+00,+75.0000008E-03
-38.5000E-06,+14.7937507629E+00,+74.6093758E-03
-38.4000E-06,+14.7898445129E+00,+75.7812508E-03
-38.3000E-06,+14.7859382629E+00,+74.2187508E-03
-38.2000E-06,+14.7800788879E+00,+75.0000008E-03
-38.1000E-06,+14.7761726379E+00,+75.7812508E-03
-38.0000E-06,+14.7722663879E+00,+76.1718757E-03
-37.9000E-06,+14.7683601379E+00,+74.6093758E-03
-37.8000E-06,+14.7625007629E+00,+75.0000008E-03
-37.7000E-06,+14.7605476379E+00,+75.3906258E-03
-37.6000E-06,+14.7566413879E+00,+75.0000008E-03
-37.5000E-06,+14.7507820129E+00,+74.6093758E-03
-37.4000E-06,+14.7468757629E+00,+75.3906258E-03
-37.3000E-06,+14.7410163879E+00,+73.8281258E-03
-37.2000E-06,+14.7390632629E+00,+74.2187508E-03
-37.1000E-06,+14.7332038879E+00,+73.4375008E-03
-37.0000E-06,+14.7312507629E+00,+73.8281258E-03
-36.9000E-06,+14.7292976379E+00,+72.2656258E-03
-36.8000E-06,+14.7234382629E+00,+72.6562508E-03
-36.7000E-06,+14.7195320129E+00,+73.4375008E-03
