x-axis,3,MATH
second,Volt,Volt
-34.3000E-06,+14.7417964935E+00,+53.7084348E-03
-34.2000E-06,+14.7398433685E+00,+55.0756223E-03
-34.1000E-06,+14.7378902435E+00,+53.3178098E-03
-34.0000E-06,+14.7359371185E+00,+53.7084348E-03
-33.9000E-06,+14.7300777435E+00,+51.9506223E-03
-33.8000E-06,+14.7300777435E+00,+54.2943723E-03
-33.7000E-06,+14.7281246185E+00,+54.8803098E-03
-33.6000E-06,+14.7261714935E+00,+54.6849973E-03
-33.5000E-06,+14.7222652435E+00,+56.2474973E-03
-33.4000E-06,+14.7203121185E+00,+56.0521848E-03
-33.3000E-06,+14.7183589935E+00,+56.4428098E-03
-33.2000E-06,+14.7203121185E+00,+57.2240598E-03
-33.1000E-06,+14.7144527435E+00,+57.6146848E-03
-33.0000E-06,+14.7164058685E+00,+58.5912474E-03
-32.9000E-06,+14.7105464935E+00,+58.5912474E-03
-32.8000E-06,+14.7085933685E+00,+56.2474973E-03
-32.7000E-06,+14.7046871185E+00,+59.1771849E-03
-32.6000E-06,+14.7066402435E+00,+57.4193723E-03
-32.5000E-06,+14.7007808685E+00,+58.3959349E-03
-32.4000E-06,+14.7027339935E+00,+58.5912474E-03
-32.3000E-06,+14.6949214935E+00,+57.6146848E-03
-32.2000E-06,+14.6949214935E+00,+60.7396849E-03
-32.1000E-06,+14.6949214935E+00,+59.1771849E-03
-32.0000E-06,+14.6910152435E+00,+59.1771849E-03
-31.9000E-06,+14.6871089935E+00,+59.5678099E-03
-31.8000E-06,+14.6871089935E+00,+59.7631224E-03
-31.7000E-06,+14.6832027435E+00,+60.1537474E-03
-31.6000E-06,+14.6812496185E+00,+58.5912474E-03
-31.5000E-06,+14.6792964935E+00,+60.3490599E-03
-31.4000E-06,+14.6773433685E+00,+60.3490599E-03
-31.3000E-06,+14.6734371185E+00,+58.3959349E-03
-31.2000E-06,+14.6734371185E+00,+60.9349974E-03
-31.1000E-06,+14.6695308685E+00,+61.5209349E-03
-31.0000E-06,+14.6695308685E+00,+60.5443724E-03
-30.9000E-06,+14.6675777435E+00,+62.6928099E-03
-30.8000E-06,+14.6636714935E+00,+61.1303099E-03
-30.7000E-06,+14.6597652435E+00,+61.3256224E-03
-30.6000E-06,+14.6617183685E+00,+61.3256224E-03
-30.5000E-06,+14.6558589935E+00,+61.5209349E-03
-30.4000E-06,+14.6558589935E+00,+63.8646849E-03
-30.3000E-06,+14.6539058685E+00,+60.5443724E-03
-30.2000E-06,+14.6539058685E+00,+59.3724974E-03
-30.1000E-06,+14.6499996185E+00,+61.1303099E-03
-30.0000E-06,+14.6480464935E+00,+63.8646849E-03
-29.9000E-06,+14.6460933685E+00,+62.6928099E-03
-29.8000E-06,+14.6441402435E+00,+62.8881224E-03
-29.7000E-06,+14.6402339935E+00,+61.9115599E-03
-29.6000E-06,+14.6382808685E+00,+62.3021849E-03
-29.5000E-06,+14.6363277435E+00,+62.3021849E-03
-29.4000E-06,+14.6363277435E+00,+63.2787474E-03
-29.3000E-06,+14.6324214935E+00,+63.8646849E-03
-29.2000E-06,+14.6304683685E+00,+62.6928099E-03
-29.1000E-06,+14.6285152435E+00,+63.4740599E-03
-29.0000E-06,+14.6265621185E+00,+65.6224975E-03
-28.9000E-06,+14.6246089935E+00,+64.0599974E-03
-28.8000E-06,+14.6207027435E+00,+62.6928099E-03
-28.7000E-06,+14.6207027435E+00,+63.0834349E-03
-28.6000E-06,+14.6187496185E+00,+65.8178100E-03
-28.5000E-06,+14.6167964935E+00,+63.8646849E-03
-28.4000E-06,+14.6128902435E+00,+64.2553099E-03
-28.3000E-06,+14.6148433685E+00,+63.8646849E-03
-28.2000E-06,+14.6089839935E+00,+66.9896850E-03
-28.1000E-06,+14.6070308685E+00,+64.6459350E-03
-28.0000E-06,+14.6050777435E+00,+65.4271850E-03
-27.9000E-06,+14.6050777435E+00,+67.7709350E-03
-27.8000E-06,+14.6011714935E+00,+67.1849975E-03
-27.7000E-06,+14.6031246185E+00,+65.8178100E-03
-27.6000E-06,+14.5972652435E+00,+63.6693724E-03
-27.5000E-06,+14.5933589935E+00,+70.7006225E-03
-27.4000E-06,+14.5933589935E+00,+69.7240600E-03
-27.3000E-06,+14.5894527435E+00,+68.9428100E-03
-27.2000E-06,+14.5914058685E+00,+68.3568725E-03
-27.1000E-06,+14.5894527435E+00,+68.5521850E-03
-27.0000E-06,+14.5855464935E+00,+64.2553099E-03
-26.9000E-06,+14.5816402435E+00,+66.2084350E-03
-26.8000E-06,+14.5796871185E+00,+70.3099975E-03
-26.7000E-06,+14.5816402435E+00,+67.7709350E-03
-26.6000E-06,+14.5796871185E+00,+67.9662475E-03
-26.5000E-06,+14.5738277435E+00,+71.2865601E-03
-26.4000E-06,+14.5718746185E+00,+69.3334350E-03
-26.3000E-06,+14.5679683685E+00,+70.1146850E-03
-26.2000E-06,+14.5660152435E+00,+63.2787474E-03
-26.1000E-06,+14.5679683685E+00,+76.7553101E-03
-26.0000E-06,+14.5621089935E+00,+67.5756225E-03
-25.9000E-06,+14.5640621185E+00,+73.0443726E-03
-25.8000E-06,+14.5621089935E+00,+69.1381225E-03
-25.7000E-06,+14.5562496185E+00,+70.7006225E-03
-25.6000E-06,+14.5523433685E+00,+66.9896850E-03
-25.5000E-06,+14.5542964935E+00,+72.8490601E-03
-25.4000E-06,+14.5503902435E+00,+73.6303101E-03
-25.3000E-06,+14.5484371185E+00,+72.4584351E-03
-25.2000E-06,+14.5445308685E+00,+69.7240600E-03
-25.1000E-06,+14.5738277435E+00,+80.8568727E-03
-25.0000E-06,+15.6441402435E+00,-49.0259417E-03
-24.9000E-06,+15.6871089935E+00,+85.9349978E-03
-24.8000E-06,+15.7203121185E+00,+94.7240604E-03
-24.7000E-06,+15.7378902435E+00,+95.7006229E-03
-24.6000E-06,+15.7476558685E+00,+94.7240604E-03
-24.5000E-06,+15.7535152435E+00,+88.4740603E-03
-24.4000E-06,+15.7632808685E+00,+88.2787478E-03
-24.3000E-06,+15.7671871185E+00,+85.9349978E-03
-24.2000E-06,+15.7691402435E+00,+90.8178103E-03
-24.1000E-06,+15.7710933685E+00,+88.0834353E-03
-24.0000E-06,+15.7730464935E+00,+89.4506228E-03
-23.9000E-06,+15.7749996185E+00,+90.8178103E-03
-23.8000E-06,+15.7730464935E+00,+87.1068728E-03
-23.7000E-06,+15.7730464935E+00,+87.4974978E-03
