x-axis,3,MATH
second,Volt,Volt
+20.42000E-06,+14.66328144073E+00,+14.84375395E-03
+20.44000E-06,+14.67890644073E+00,+18.75000400E-03
+20.46000E-06,+14.67109394073E+00,+14.84375395E-03
+20.48000E-06,+14.67109394073E+00,+10.93750389E-03
+20.50000E-06,+14.66914081573E+00,+22.65625406E-03
+20.52000E-06,+14.67500019073E+00,+14.84375395E-03
+20.54000E-06,+14.67109394073E+00,+12.89062892E-03
+20.56000E-06,+14.66914081573E+00,+20.70312903E-03
+20.58000E-06,+14.67109394073E+00,+16.79687898E-03
+20.60000E-06,+14.66914081573E+00,+16.79687898E-03
+20.62000E-06,+14.66523456573E+00,+20.70312903E-03
+20.64000E-06,+14.66328144073E+00,+12.89062892E-03
+20.66000E-06,+14.66718769073E+00,+14.84375395E-03
+20.68000E-06,+14.66718769073E+00,+28.51562915E-03
+20.70000E-06,+14.66523456573E+00,+18.75000400E-03
+20.72000E-06,+14.66718769073E+00,+24.60937909E-03
+20.74000E-06,+14.67109394073E+00,+18.75000400E-03
+20.76000E-06,+14.66914081573E+00,+16.79687898E-03
+20.78000E-06,+14.66718769073E+00,+18.75000400E-03
+20.80000E-06,+14.66132831573E+00,+16.79687898E-03
+20.82000E-06,+14.66523456573E+00,+24.60937909E-03
+20.84000E-06,+14.66718769073E+00,+24.60937909E-03
+20.86000E-06,+14.67109394073E+00,+14.84375395E-03
+20.88000E-06,+14.67109394073E+00,+14.84375395E-03
+20.90000E-06,+14.66523456573E+00,+12.89062892E-03
+20.92000E-06,+14.66914081573E+00,+22.65625406E-03
+20.94000E-06,+14.66328144073E+00,+14.84375395E-03
+20.96000E-06,+14.66132831573E+00,+28.51562915E-03
+20.98000E-06,+14.66328144073E+00,+26.56250412E-03
+21.00000E-06,+14.66523456573E+00,+24.60937909E-03
+21.02000E-06,+14.66132831573E+00,+22.65625406E-03
+21.04000E-06,+14.66328144073E+00,+22.65625406E-03
+21.06000E-06,+14.66132831573E+00,+18.75000400E-03
+21.08000E-06,+14.66328144073E+00,+28.51562915E-03
+21.10000E-06,+14.66132831573E+00,+14.84375395E-03
+21.12000E-06,+14.66718769073E+00,+16.79687898E-03
+21.14000E-06,+14.66718769073E+00,+7.03125383E-03
+21.16000E-06,+14.66914081573E+00,+14.84375395E-03
+21.18000E-06,+14.65937519073E+00,+16.79687898E-03
+21.20000E-06,+14.66523456573E+00,+24.60937909E-03
+21.22000E-06,+14.65742206573E+00,+20.70312903E-03
+21.24000E-06,+14.66132831573E+00,+28.51562915E-03
+21.26000E-06,+14.65937519073E+00,+20.70312903E-03
+21.28000E-06,+14.65742206573E+00,+22.65625406E-03
+21.30000E-06,+14.65742206573E+00,+8.98437886E-03
+21.32000E-06,+14.66328144073E+00,+16.79687898E-03
+21.34000E-06,+14.65937519073E+00,+24.60937909E-03
+21.36000E-06,+14.65742206573E+00,+32.42187921E-03
+21.38000E-06,+14.65742206573E+00,+22.65625406E-03
+21.40000E-06,+14.66328144073E+00,+22.65625406E-03
+21.42000E-06,+14.66132831573E+00,+18.75000400E-03
+21.44000E-06,+14.66328144073E+00,+18.75000400E-03
+21.46000E-06,+14.65937519073E+00,+20.70312903E-03
+21.48000E-06,+14.65742206573E+00,+14.84375395E-03
+21.50000E-06,+14.66132831573E+00,+24.60937909E-03
+21.52000E-06,+14.66132831573E+00,+18.75000400E-03
+21.54000E-06,+14.65742206573E+00,+14.84375395E-03
+21.56000E-06,+14.65546894073E+00,+20.70312903E-03
+21.58000E-06,+14.65351581573E+00,+18.75000400E-03
+21.60000E-06,+14.65546894073E+00,+24.60937909E-03
+21.62000E-06,+14.65351581573E+00,+18.75000400E-03
+21.64000E-06,+14.65546894073E+00,+28.51562915E-03
+21.66000E-06,+14.65937519073E+00,+22.65625406E-03
+21.68000E-06,+14.65546894073E+00,+20.70312903E-03
+21.70000E-06,+14.65156269073E+00,+18.75000400E-03
+21.72000E-06,+14.65546894073E+00,+18.75000400E-03
+21.74000E-06,+14.65351581573E+00,+18.75000400E-03
+21.76000E-06,+14.64960956573E+00,+20.70312903E-03
+21.78000E-06,+14.65351581573E+00,+18.75000400E-03
+21.80000E-06,+14.65937519073E+00,+16.79687898E-03
+21.82000E-06,+14.65156269073E+00,+20.70312903E-03
+21.84000E-06,+14.65351581573E+00,+26.56250412E-03
+21.86000E-06,+14.65546894073E+00,+22.65625406E-03
+21.88000E-06,+14.65351581573E+00,+22.65625406E-03
+21.90000E-06,+14.65156269073E+00,+20.70312903E-03
+21.92000E-06,+14.65546894073E+00,+30.46875418E-03
+21.94000E-06,+14.65156269073E+00,+22.65625406E-03
+21.96000E-06,+14.65156269073E+00,+26.56250412E-03
+21.98000E-06,+14.65351581573E+00,+10.93750389E-03
+22.00000E-06,+14.65351581573E+00,+24.60937909E-03
+22.02000E-06,+14.64960956573E+00,+24.60937909E-03
+22.04000E-06,+14.65351581573E+00,+20.70312903E-03
+22.06000E-06,+14.64960956573E+00,+20.70312903E-03
+22.08000E-06,+14.65351581573E+00,+20.70312903E-03
+22.10000E-06,+14.64765644073E+00,+20.70312903E-03
+22.12000E-06,+14.64960956573E+00,+28.51562915E-03
+22.14000E-06,+14.65351581573E+00,+30.46875418E-03
+22.16000E-06,+14.65546894073E+00,+24.60937909E-03
+22.18000E-06,+14.64765644073E+00,+26.56250412E-03
+22.20000E-06,+14.64960956573E+00,+24.60937909E-03
+22.22000E-06,+14.64765644073E+00,+28.51562915E-03
+22.24000E-06,+14.64765644073E+00,+22.65625406E-03
+22.26000E-06,+14.64960956573E+00,+24.60937909E-03
+22.28000E-06,+14.64375019073E+00,+22.65625406E-03
+22.30000E-06,+14.64765644073E+00,+30.46875418E-03
