x-axis,3,MATH
second,Volt,Volt
+9.20000E-06,+14.90031280287E+00,-44.52624830E-03
+9.25000E-06,+14.90382842792E+00,-54.29187344E-03
+9.30000E-06,+14.90500030294E+00,-54.29187344E-03
+9.35000E-06,+14.90304717791E+00,-50.38562338E-03
+9.40000E-06,+14.90109405288E+00,-48.43249836E-03
+9.45000E-06,+14.89914092785E+00,-42.57312327E-03
+9.50000E-06,+14.89835967784E+00,-46.47937333E-03
+9.55000E-06,+14.89679717782E+00,-36.71374818E-03
+9.60000E-06,+14.89835967784E+00,-42.57312327E-03
+9.65000E-06,+14.89562530280E+00,-44.52624830E-03
+9.70000E-06,+14.89523467780E+00,-46.47937333E-03
+9.75000E-06,+14.89406280278E+00,-34.76062315E-03
+9.80000E-06,+14.89210967775E+00,-40.61999824E-03
+9.85000E-06,+14.89289092776E+00,-40.61999824E-03
+9.90000E-06,+14.89132842774E+00,-42.57312327E-03
+9.95000E-06,+14.89015655272E+00,-42.57312327E-03
+10.00000E-06,+14.88937530271E+00,-36.71374818E-03
+10.05000E-06,+14.88937530271E+00,-32.80749812E-03
+10.10000E-06,+14.88546905265E+00,-34.76062315E-03
+10.15000E-06,+14.88898467770E+00,-34.76062315E-03
+10.20000E-06,+14.88546905265E+00,-38.66687321E-03
+10.25000E-06,+14.88507842764E+00,-40.61999824E-03
+10.30000E-06,+14.88585967766E+00,-38.66687321E-03
+10.35000E-06,+14.88195342760E+00,-38.66687321E-03
+10.40000E-06,+14.87960967756E+00,-32.80749812E-03
+10.45000E-06,+14.87882842755E+00,-34.76062315E-03
+10.50000E-06,+14.88000030257E+00,-32.80749812E-03
+10.55000E-06,+14.87960967756E+00,-34.76062315E-03
+10.60000E-06,+14.87531280250E+00,-28.90124806E-03
+10.65000E-06,+14.87804717754E+00,-28.90124806E-03
+10.70000E-06,+14.87492217749E+00,-32.80749812E-03
+10.75000E-06,+14.87687530252E+00,-30.85437309E-03
+10.80000E-06,+14.87843780254E+00,-38.66687321E-03
+10.85000E-06,+14.87140655244E+00,-34.76062315E-03
+10.90000E-06,+14.87843780254E+00,-38.66687321E-03
+10.95000E-06,+14.86984405242E+00,-36.71374818E-03
+11.00000E-06,+14.87062530243E+00,-24.99499801E-03
+11.05000E-06,+14.87218780245E+00,-28.90124806E-03
+11.10000E-06,+14.86906280241E+00,-30.85437309E-03
+11.15000E-06,+14.86906280241E+00,-26.94812304E-03
+11.20000E-06,+14.86867217740E+00,-32.80749812E-03
+11.25000E-06,+14.86632842736E+00,-24.99499801E-03
+11.30000E-06,+14.86750030238E+00,-32.80749812E-03
+11.35000E-06,+14.86671905237E+00,-30.85437309E-03
+11.40000E-06,+14.86476592734E+00,-30.85437309E-03
+11.45000E-06,+14.86554717735E+00,-32.80749812E-03
+11.50000E-06,+14.86437530234E+00,-30.85437309E-03
+11.55000E-06,+14.86476592734E+00,-34.76062315E-03
+11.60000E-06,+14.86281280231E+00,-28.90124806E-03
+11.65000E-06,+14.86203155230E+00,-30.85437309E-03
+11.70000E-06,+14.86125030229E+00,-28.90124806E-03
+11.75000E-06,+14.86164092729E+00,-32.80749812E-03
+11.80000E-06,+14.85500030220E+00,-21.08874795E-03
+11.85000E-06,+14.85812530224E+00,-21.08874795E-03
+11.90000E-06,+14.85968780227E+00,-30.85437309E-03
+11.95000E-06,+14.85460967719E+00,-28.90124806E-03
+12.00000E-06,+14.85929717726E+00,-32.80749812E-03
+12.05000E-06,+14.85304717717E+00,-24.99499801E-03
+12.10000E-06,+14.85421905218E+00,-26.94812304E-03
+12.15000E-06,+14.85656280222E+00,-28.90124806E-03
+12.20000E-06,+14.85226592715E+00,-30.85437309E-03
+12.25000E-06,+14.85500030220E+00,-23.04187298E-03
+12.30000E-06,+14.85070342713E+00,-26.94812304E-03
+12.35000E-06,+14.84992217712E+00,-26.94812304E-03
+12.40000E-06,+14.85070342713E+00,-23.04187298E-03
+12.45000E-06,+14.84757842709E+00,-23.04187298E-03
+12.50000E-06,+14.84914092711E+00,-24.99499801E-03
+12.55000E-06,+14.84835967710E+00,-26.94812304E-03
+12.60000E-06,+14.84718780208E+00,-26.94812304E-03
+12.65000E-06,+14.84601592706E+00,-24.99499801E-03
+12.70000E-06,+14.84640655207E+00,-28.90124806E-03
+12.75000E-06,+14.84562530206E+00,-26.94812304E-03
+12.80000E-06,+14.84406280203E+00,-24.99499801E-03
+12.85000E-06,+14.84289092702E+00,-26.94812304E-03
+12.90000E-06,+14.84406280203E+00,-28.90124806E-03
+12.95000E-06,+14.84210967700E+00,-26.94812304E-03
+13.00000E-06,+14.84210967700E+00,-26.94812304E-03
+13.05000E-06,+14.83898467696E+00,-24.99499801E-03
+13.10000E-06,+14.84093780199E+00,-23.04187298E-03
+13.15000E-06,+14.83703155193E+00,-23.04187298E-03
+13.20000E-06,+14.83937530196E+00,-28.90124806E-03
+13.25000E-06,+14.83664092692E+00,-23.04187298E-03
+13.30000E-06,+14.83664092692E+00,-26.94812304E-03
