time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
1.597514931140145e-006	-2.686083e-001	3.873517e-007	6.412275e-001	2.686085e-001	6.412273e-001
1.675773563449001e-006	-2.685710e-001	3.887625e-007	6.432021e-001	2.685713e-001	6.432019e-001
1.756976976377729e-006	-2.685325e-001	3.867797e-007	6.452505e-001	2.685327e-001	6.452503e-001
1.847907060024447e-006	-2.684893e-001	3.905007e-007	6.475435e-001	2.684895e-001	6.475433e-001
1.958919819040200e-006	-2.684365e-001	3.867081e-007	6.503421e-001	2.684368e-001	6.503419e-001
2.091000732735993e-006	-2.683738e-001	3.902174e-007	6.536705e-001	2.683740e-001	6.536703e-001
2.262758909868379e-006	-2.682922e-001	3.866758e-007	6.579965e-001	2.682925e-001	6.579962e-001
2.491379150417090e-006	-2.681837e-001	3.897515e-007	6.637506e-001	2.681839e-001	6.637504e-001
2.828948457181575e-006	-2.680235e-001	3.872236e-007	6.722389e-001	2.680237e-001	6.722386e-001
3.292948457181942e-006	-2.678035e-001	3.879504e-007	6.838924e-001	2.678037e-001	6.838921e-001
3.756948457182309e-006	-2.675836e-001	3.877853e-007	6.955298e-001	2.675839e-001	6.955296e-001
4.220948457182676e-006	-2.673640e-001	3.876171e-007	7.071502e-001	2.673642e-001	7.071500e-001
4.684948457183043e-006	-2.671445e-001	3.874457e-007	7.187534e-001	2.671448e-001	7.187532e-001
5.148948457183410e-006	-2.669252e-001	3.872751e-007	7.303395e-001	2.669255e-001	7.303393e-001
5.612948457183777e-006	-2.667061e-001	3.871023e-007	7.419086e-001	2.667063e-001	7.419084e-001
6.076948457184143e-006	-2.664872e-001	3.869300e-007	7.534606e-001	2.664874e-001	7.534604e-001
6.540948457184510e-006	-2.662684e-001	3.867553e-007	7.649956e-001	2.662686e-001	7.649954e-001
7.004948457184877e-006	-2.660498e-001	3.865825e-007	7.765136e-001	2.660500e-001	7.765134e-001
7.468948457185244e-006	-2.658314e-001	3.864084e-007	7.880147e-001	2.658316e-001	7.880144e-001
7.932948457185611e-006	-2.656132e-001	3.862356e-007	7.994987e-001	2.656134e-001	7.994985e-001
8.396948457185978e-006	-2.653952e-001	3.860609e-007	8.109659e-001	2.653954e-001	8.109657e-001
8.860948457186345e-006	-2.651773e-001	3.858877e-007	8.224161e-001	2.651775e-001	8.224159e-001
