time	V(vc)	V(vdd)	V(vo)	V(vsw)
2.289937400499174e-006	1.660239e+001	6.000000e+000	1.656622e+001	3.023463e-003
2.420424836082485e-006	1.660144e+001	6.000000e+000	1.656527e+001	3.193060e-003
2.681399707248240e-006	1.659956e+001	6.000000e+000	1.656339e+001	3.532282e-003
2.934035817895968e-006	1.659773e+001	6.000000e+000	1.656157e+001	3.860568e-003
3.398035817896335e-006	1.659437e+001	6.000000e+000	1.655822e+001	4.463104e-003
3.862035817896702e-006	1.659102e+001	6.000000e+000	1.655487e+001	5.065029e-003
4.326035817897068e-006	1.658766e+001	6.000000e+000	1.655153e+001	5.666185e-003
4.790035817897435e-006	1.658431e+001	6.000000e+000	1.654818e+001	6.266523e-003
5.254035817897802e-006	1.658096e+001	6.000000e+000	1.654483e+001	6.866016e-003
5.718035817898169e-006	1.657761e+001	6.000000e+000	1.654149e+001	7.464652e-003
6.182035817898536e-006	1.657425e+001	6.000000e+000	1.653815e+001	8.062422e-003
6.646035817898903e-006	1.657090e+001	6.000000e+000	1.653480e+001	8.659326e-003
7.110035817899270e-006	1.656755e+001	6.000000e+000	1.653146e+001	9.255356e-003
7.574035817899637e-006	1.656421e+001	6.000000e+000	1.652812e+001	9.850515e-003
8.038035817900004e-006	1.656086e+001	6.000000e+000	1.652478e+001	1.044480e-002
8.502035817900371e-006	1.655751e+001	6.000000e+000	1.652143e+001	1.103821e-002
8.966035817900737e-006	1.655416e+001	6.000000e+000	1.651810e+001	1.163075e-002
9.430035817901104e-006	1.655082e+001	6.000000e+000	1.651476e+001	1.222242e-002
9.894035817901471e-006	1.654747e+001	6.000000e+000	1.651142e+001	1.281322e-002
1.035803581790184e-005	1.654412e+001	6.000000e+000	1.650808e+001	1.340315e-002
1.082203581790221e-005	1.654078e+001	6.000000e+000	1.650474e+001	1.399221e-002
1.128603581790257e-005	1.653744e+001	6.000000e+000	1.650141e+001	1.458040e-002
1.221403581790331e-005	1.653075e+001	6.000000e+000	1.649474e+001	1.575418e-002
1.314203581790404e-005	1.652407e+001	6.000000e+000	1.648807e+001	1.692451e-002
1.407003581790477e-005	1.651739e+001	6.000000e+000	1.648140e+001	1.809139e-002
1.499803581790551e-005	1.651071e+001	6.000000e+000	1.647474e+001	1.925483e-002
1.553599999999916e-005	1.650684e+001	6.000000e+000	1.647088e+001	1.992791e-002
1.568392836418572e-005	1.650578e+001	6.000000e+000	1.646981e+001	2.011276e-002
1.574457308650776e-005	1.650534e+001	6.000000e+000	1.646938e+001	2.018849e-002
1.589542649533312e-005	1.650425e+001	6.000000e+000	1.646830e+001	2.037685e-002
1.593853462051372e-005	1.650394e+001	6.000000e+000	1.646799e+001	2.043095e-002
1.593953462051406e-005	1.650394e+001	6.000000e+000	1.646798e+001	2.043207e-002
1.594153462051474e-005	1.650392e+001	6.000000e+000	1.646797e+001	2.043437e-002
1.594414940491850e-005	1.650390e+001	6.000000e+000	1.646795e+001	2.043767e-002
1.594699697812351e-005	1.650388e+001	6.000000e+000	1.646793e+001	2.044119e-002
1.595269212453440e-005	1.650384e+001	6.000000e+000	1.646789e+001	2.044833e-002
1.596232617055455e-005	1.650377e+001	6.000000e+000	1.646782e+001	2.046034e-002
1.597797859250166e-005	1.650366e+001	6.000000e+000	1.646770e+001	2.047979e-002
1.597897859250200e-005	1.650365e+001	6.000000e+000	1.646770e+001	2.048107e-002
1.598097859250268e-005	1.650364e+001	6.000000e+000	1.646768e+001	2.048364e-002
1.598497859250404e-005	1.650361e+001	6.000000e+000	1.646766e+001	2.048861e-002
1.599155386272210e-005	1.650356e+001	6.000000e+000	1.646761e+001	2.049678e-002
1.599255386272244e-005	1.650356e+001	6.000000e+000	1.646760e+001	2.049804e-002
1.599455386272312e-005	1.650354e+001	6.000000e+000	1.646759e+001	2.050056e-002
1.599599999999816e-005	1.650353e+001	6.000000e+000	1.646758e+001	2.050237e-002
1.599710772544945e-005	1.650352e+001	6.000000e+000	1.646757e+001	2.050375e-002
1.599778454909693e-005	1.650352e+001	6.000000e+000	1.646756e+001	2.050459e-002
1.599864635270457e-005	1.650351e+001	6.000000e+000	1.646756e+001	2.050567e-002
1.599899999999918e-005	1.650351e+001	6.000000e+000	1.646755e+001	2.050611e-002
1.599929270541031e-005	1.650351e+001	6.000000e+000	1.646755e+001	2.050648e-002
1.599941458917727e-005	1.650351e+001	6.000000e+000	1.646755e+001	2.050663e-002
1.599965835671121e-005	1.650350e+001	6.000000e+000	1.646755e+001	2.050694e-002
1.599999999999952e-005	1.650350e+001	6.000000e+000	1.646755e+001	2.050734e-002
1.600001301703749e-005	1.650350e+001	6.000000e+000	1.646755e+001	2.050736e-002
1.600003905111343e-005	1.650350e+001	6.000000e+000	1.646755e+001	2.050743e-002
1.600008383100850e-005	1.650350e+001	6.000000e+000	1.646755e+001	2.050754e-002
1.600013176714446e-005	1.650350e+001	6.000000e+000	1.646755e+001	2.050770e-002
1.600019629543169e-005	1.650350e+001	6.000000e+000	1.646754e+001	2.050797e-002
1.600025977739790e-005	1.650350e+001	6.000000e+000	1.646754e+001	2.050828e-002
1.600035982501219e-005	1.650350e+001	6.000000e+000	1.646754e+001	2.050881e-002
1.600049053953560e-005	1.650350e+001	6.000000e+000	1.646754e+001	2.050948e-002
1.600075196858328e-005	1.650350e+001	6.000000e+000	1.646754e+001	2.051070e-002
1.600099999999986e-005	1.650349e+001	6.000000e+000	1.646754e+001	2.051175e-002
1.600102480314117e-005	1.650349e+001	6.000000e+000	1.646754e+001	2.051183e-002
1.600107440942467e-005	1.650349e+001	6.000000e+000	1.646754e+001	2.051196e-002
1.600117362199165e-005	1.650349e+001	6.000000e+000	1.646754e+001	2.051208e-002
1.600127041165040e-005	1.650349e+001	6.000000e+000	1.646754e+001	2.051209e-002
1.600139913621179e-005	1.650349e+001	6.000000e+000	1.646754e+001	2.051203e-002
1.600156036526360e-005	1.650349e+001	6.000000e+000	1.646754e+001	2.051197e-002
1.600188282336722e-005	1.650349e+001	6.000000e+000	1.646753e+001	2.051202e-002
1.600231225195887e-005	1.650348e+001	6.000000e+000	1.646753e+001	2.051231e-002
1.600281516432427e-005	1.650348e+001	6.000000e+000	1.646753e+001	2.051281e-002
1.600346576072394e-005	1.650348e+001	6.000000e+000	1.646752e+001	2.051356e-002
1.600443408545163e-005	1.650347e+001	6.000000e+000	1.646751e+001	2.051471e-002
1.600618132430263e-005	1.650346e+001	6.000000e+000	1.646750e+001	2.051680e-002
1.600967580200376e-005	1.650343e+001	6.000000e+000	1.646748e+001	2.052099e-002
