time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
1.327802359707073e-006	-7.237195e-002	1.057010e-007	3.660464e-002	7.237189e-002	3.660470e-002
1.403348523755510e-006	-7.236957e-002	1.059381e-007	3.865595e-002	7.236951e-002	3.865601e-002
1.480767170545724e-006	-7.236712e-002	1.061768e-007	4.075760e-002	7.236706e-002	4.075766e-002
1.553502806291018e-006	-7.236483e-002	1.061615e-007	4.273165e-002	7.236477e-002	4.273171e-002
1.623573718110422e-006	-7.236262e-002	1.062265e-007	4.463295e-002	7.236256e-002	4.463300e-002
1.697302664983511e-006	-7.236030e-002	1.062195e-007	4.663304e-002	7.236024e-002	4.663310e-002
1.764371827627301e-006	-7.235818e-002	1.062918e-007	4.845207e-002	7.235812e-002	4.845213e-002
1.836442735474869e-006	-7.235591e-002	1.063836e-007	5.040631e-002	7.235585e-002	5.040637e-002
1.906704517772549e-006	-7.235370e-002	1.064531e-007	5.231107e-002	7.235364e-002	5.231113e-002
1.976501175419629e-006	-7.235149e-002	1.067768e-007	5.420277e-002	7.235143e-002	5.420283e-002
2.067037965019711e-006	-7.234864e-002	1.065130e-007	5.665597e-002	7.234858e-002	5.665603e-002
2.154260135054861e-006	-7.234589e-002	1.068807e-007	5.901864e-002	7.234583e-002	5.901870e-002
2.289937400499174e-006	-7.234162e-002	1.065154e-007	6.269256e-002	7.234156e-002	6.269262e-002
2.420424836082485e-006	-7.233751e-002	1.068653e-007	6.622422e-002	7.233745e-002	6.622428e-002
2.681399707248240e-006	-7.232928e-002	1.064962e-007	7.328318e-002	7.232922e-002	7.328324e-002
2.934035817895968e-006	-7.232132e-002	1.066521e-007	8.011057e-002	7.232126e-002	8.011063e-002
3.398035817896335e-006	-7.230669e-002	1.064495e-007	9.263565e-002	7.230663e-002	9.263571e-002
3.862035817896702e-006	-7.229207e-002	1.064213e-007	1.051444e-001	7.229201e-002	1.051444e-001
4.326035817897068e-006	-7.227746e-002	1.063913e-007	1.176347e-001	7.227740e-002	1.176347e-001
4.790035817897435e-006	-7.226285e-002	1.063599e-007	1.301065e-001	7.226279e-002	1.301066e-001
5.254035817897802e-006	-7.224824e-002	1.063281e-007	1.425600e-001	7.224818e-002	1.425601e-001
5.718035817898169e-006	-7.223364e-002	1.062958e-007	1.549952e-001	7.223358e-002	1.549953e-001
6.182035817898536e-006	-7.221904e-002	1.062638e-007	1.674120e-001	7.221898e-002	1.674121e-001
6.646035817898903e-006	-7.220443e-002	1.062313e-007	1.798106e-001	7.220438e-002	1.798106e-001
7.110035817899270e-006	-7.218984e-002	1.061990e-007	1.921909e-001	7.218978e-002	1.921909e-001
7.574035817899637e-006	-7.217524e-002	1.061667e-007	2.045529e-001	7.217519e-002	2.045529e-001
8.038035817900004e-006	-7.216065e-002	1.061344e-007	2.168967e-001	7.216060e-002	2.168968e-001
8.502035817900371e-006	-7.214607e-002	1.061019e-007	2.292223e-001	7.214601e-002	2.292224e-001
8.966035817900737e-006	-7.213148e-002	1.060698e-007	2.415298e-001	7.213143e-002	2.415299e-001
9.430035817901104e-006	-7.211690e-002	1.060373e-007	2.538191e-001	7.211684e-002	2.538192e-001
9.894035817901471e-006	-7.210232e-002	1.060048e-007	2.660903e-001	7.210226e-002	2.660904e-001
1.035803581790184e-005	-7.208774e-002	1.059723e-007	2.783435e-001	7.208769e-002	2.783435e-001
1.082203581790221e-005	-7.207317e-002	1.059402e-007	2.905786e-001	7.207312e-002	2.905786e-001
1.128603581790257e-005	-7.205860e-002	1.059079e-007	3.027956e-001	7.205854e-002	3.027957e-001
1.221403581790331e-005	-7.202947e-002	1.058434e-007	3.271757e-001	7.202941e-002	3.271758e-001
1.314203581790404e-005	-7.200035e-002	1.057792e-007	3.514841e-001	7.200029e-002	3.514842e-001
1.407003581790477e-005	-7.197124e-002	1.057151e-007	3.757209e-001	7.197118e-002	3.757209e-001
1.499803581790551e-005	-7.194215e-002	1.056510e-007	3.998863e-001	7.194209e-002	3.998863e-001
1.553599999999916e-005	-7.192528e-002	1.062908e-007	4.138666e-001	7.192522e-002	4.138667e-001
1.568392836418572e-005	-7.192065e-002	1.099151e-007	4.177057e-001	7.192059e-002	4.177058e-001
1.574457308650776e-005	-7.191875e-002	1.047181e-007	4.192790e-001	7.191869e-002	4.192791e-001
1.589542649533312e-005	-7.191402e-002	1.065430e-007	4.231913e-001	7.191396e-002	4.231913e-001
1.593853462051372e-005	-7.191256e-002	2.126506e-007	4.243089e-001	7.191261e-002	4.243089e-001
1.593953462051406e-005	-7.191259e-002	1.590073e-007	4.243349e-001	7.191258e-002	4.243349e-001
1.594153462051474e-005	-7.191259e-002	9.223034e-008	4.243867e-001	7.191251e-002	4.243868e-001
1.594414940491850e-005	-7.191249e-002	1.090601e-007	4.244545e-001	7.191243e-002	4.244545e-001
1.594699697812351e-005	-7.191242e-002	8.409294e-008	4.245283e-001	7.191235e-002	4.245284e-001
1.595269212453440e-005	-7.191221e-002	1.144535e-007	4.246759e-001	7.191216e-002	4.246760e-001
1.596232617055455e-005	-7.191193e-002	1.006333e-007	4.249257e-001	7.191186e-002	4.249257e-001
1.597797859250166e-005	-7.191155e-002	-1.155908e-008	4.253314e-001	7.191137e-002	4.253316e-001
1.597897859250200e-005	-7.191146e-002	4.310558e-008	4.253573e-001	7.191134e-002	4.253575e-001
1.598097859250268e-005	-7.191131e-002	1.370183e-007	4.254092e-001	7.191128e-002	4.254092e-001
1.598497859250404e-005	-7.191122e-002	9.328618e-008	4.255129e-001	7.191116e-002	4.255129e-001
1.599155386272210e-005	-7.191111e-002	2.530059e-010	4.256833e-001	7.191095e-002	4.256835e-001
1.599255386272244e-005	-7.191104e-002	4.320464e-008	4.257092e-001	7.191092e-002	4.257094e-001
1.599455386272312e-005	-7.191093e-002	8.272248e-008	4.257611e-001	7.191085e-002	4.257612e-001
1.599599999999816e-005	-7.191084e-002	1.299493e-007	4.257986e-001	7.191081e-002	4.257986e-001
1.599710772544945e-005	-7.191090e-002	4.092441e-008	4.258273e-001	7.191078e-002	4.258274e-001
1.599778454909693e-005	-7.191085e-002	6.685726e-008	4.258448e-001	7.191075e-002	4.258449e-001
1.599864635270457e-005	-7.191096e-002	-6.450878e-008	4.258671e-001	7.191072e-002	4.258674e-001
1.599899999999918e-005	-7.191073e-002	1.471367e-007	4.258763e-001	7.191071e-002	4.258763e-001
1.599929270541031e-005	-7.191111e-002	-2.449229e-007	4.258839e-001	7.191070e-002	4.258843e-001
1.599941458917727e-005	-7.191110e-002	-2.298238e-007	4.258870e-001	7.191070e-002	4.258875e-001
1.599965835671121e-005	-7.191067e-002	1.863576e-007	4.258934e-001	7.191069e-002	4.258934e-001
1.599999999999952e-005	-7.190877e-002	2.075283e-006	4.259022e-001	7.191069e-002	4.259003e-001
1.600001301703749e-005	-7.190922e-002	1.632357e-006	4.259026e-001	7.191069e-002	4.259011e-001
1.600003905111343e-005	-7.191046e-002	3.888003e-007	4.259032e-001	7.191068e-002	4.259030e-001
1.600008383100850e-005	-7.191074e-002	1.037503e-007	4.259044e-001	7.191068e-002	4.259045e-001
1.600013176714446e-005	-7.191069e-002	1.485725e-007	4.259056e-001	7.191068e-002	4.259056e-001
1.600019629543169e-005	-7.191069e-002	1.483398e-007	4.259073e-001	7.191068e-002	4.259073e-001
1.600025977739790e-005	-7.191068e-002	1.604550e-007	4.259090e-001	7.191068e-002	4.259090e-001
1.600035982501219e-005	-7.191068e-002	1.603816e-007	4.259115e-001	7.191067e-002	4.259115e-001
1.600049053953560e-005	-7.191067e-002	1.593287e-007	4.259149e-001	7.191067e-002	4.259149e-001
1.600075196858328e-005	-7.191068e-002	1.491046e-007	4.259217e-001	7.191066e-002	4.259217e-001
1.600099999999986e-005	-7.191068e-002	1.362568e-007	4.259281e-001	7.191065e-002	4.259282e-001
1.600102480314117e-005	-7.191068e-002	1.336779e-007	4.259288e-001	7.191065e-002	4.259288e-001
1.600107440942467e-005	-7.191069e-002	1.232266e-007	4.259301e-001	7.191065e-002	4.259301e-001
1.600117362199165e-005	-7.191072e-002	9.938212e-008	4.259326e-001	7.191065e-002	4.259327e-001
1.600127041165040e-005	-7.191072e-002	8.501395e-008	4.259351e-001	7.191064e-002	4.259352e-001
1.600139913621179e-005	-7.191072e-002	8.023708e-008	4.259385e-001	7.191064e-002	4.259386e-001
1.600156036526360e-005	-7.191072e-002	8.344514e-008	4.259427e-001	7.191063e-002	4.259427e-001
1.600188282336722e-005	-7.191069e-002	9.291426e-008	4.259510e-001	7.191063e-002	4.259511e-001
1.600231225195887e-005	-7.191067e-002	1.003063e-007	4.259622e-001	7.191061e-002	4.259622e-001
1.600281516432427e-005	-7.191066e-002	1.035103e-007	4.259752e-001	7.191060e-002	4.259753e-001
1.600346576072394e-005	-7.191063e-002	1.045586e-007	4.259921e-001	7.191058e-002	4.259921e-001
1.600443408545163e-005	-7.191060e-002	1.048546e-007	4.260172e-001	7.191055e-002	4.260172e-001
1.600618132430263e-005	-7.191055e-002	1.049093e-007	4.260624e-001	7.191049e-002	4.260625e-001
1.600967580200376e-005	-7.191044e-002	1.049447e-007	4.261530e-001	7.191038e-002	4.261531e-001
1.601666475740601e-005	-7.191022e-002	1.049639e-007	4.263341e-001	7.191017e-002	4.263342e-001
1.602011422000785e-005	-7.191011e-002	1.047890e-007	4.264235e-001	7.191005e-002	4.264236e-001
1.602393325531460e-005	-7.190999e-002	1.037865e-007	4.265225e-001	7.190993e-002	4.265226e-001
1.602596727128154e-005	-7.190993e-002	1.018420e-007	4.265752e-001	7.190987e-002	4.265753e-001
1.602734508977365e-005	-7.190989e-002	9.856594e-008	4.266110e-001	7.190983e-002	4.266110e-001
1.602853728555932e-005	-7.190986e-002	9.331400e-008	4.266419e-001	7.190979e-002	4.266419e-001
1.602947241134516e-005	-7.190984e-002	8.672290e-008	4.266661e-001	7.190976e-002	4.266662e-001
1.603029777763956e-005	-7.190982e-002	7.813975e-008	4.266875e-001	7.190973e-002	4.266876e-001
1.603106442650722e-005	-7.190981e-002	6.711106e-008	4.267074e-001	7.190971e-002	4.267074e-001
