time	V(vc)	V(vdd)	V(vo)	V(vsw)
4.684948457183043e-006	1.509368e+001	6.000000e+000	1.496011e+001	3.461729e-002
5.148948457183410e-006	1.508129e+001	6.000000e+000	1.494783e+001	3.517463e-002
5.612948457183777e-006	1.506891e+001	6.000000e+000	1.493555e+001	3.573123e-002
6.076948457184143e-006	1.505654e+001	6.000000e+000	1.492329e+001	3.628707e-002
6.540948457184510e-006	1.504418e+001	6.000000e+000	1.491104e+001	3.684215e-002
7.004948457184877e-006	1.503183e+001	6.000000e+000	1.489880e+001	3.739643e-002
7.468948457185244e-006	1.501949e+001	6.000000e+000	1.488657e+001	3.794994e-002
7.932948457185611e-006	1.500716e+001	6.000000e+000	1.487435e+001	3.850265e-002
8.396948457185978e-006	1.499484e+001	6.000000e+000	1.486214e+001	3.905457e-002
8.860948457186345e-006	1.498253e+001	6.000000e+000	1.484994e+001	3.960569e-002
9.324948457186712e-006	1.497023e+001	6.000000e+000	1.483775e+001	4.015602e-002
9.788948457187079e-006	1.495794e+001	6.000000e+000	1.482557e+001	4.070554e-002
1.025294845718745e-005	1.494566e+001	6.000000e+000	1.481340e+001	4.125427e-002
1.071694845718781e-005	1.493339e+001	6.000000e+000	1.480124e+001	4.180220e-002
1.118094845718818e-005	1.492113e+001	6.000000e+000	1.478909e+001	4.234933e-002
1.210894845718891e-005	1.489665e+001	6.000000e+000	1.476482e+001	4.344119e-002
1.303694845718965e-005	1.487220e+001	6.000000e+000	1.474059e+001	4.452986e-002
1.396494845719038e-005	1.484779e+001	6.000000e+000	1.471640e+001	4.561535e-002
1.489294845719111e-005	1.482343e+001	6.000000e+000	1.469225e+001	4.669765e-002
1.535694845719148e-005	1.481126e+001	6.000000e+000	1.468018e+001	4.723775e-002
1.553599999999916e-005	1.480656e+001	6.000000e+000	1.467553e+001	4.744592e-002
1.564189691438418e-005	1.480379e+001	6.000000e+000	1.467278e+001	4.756898e-002
1.578820617122948e-005	1.479995e+001	6.000000e+000	1.466898e+001	4.773418e-002
1.578920617122982e-005	1.479993e+001	6.000000e+000	1.466896e+001	4.773749e-002
1.579120617123050e-005	1.479988e+001	6.000000e+000	1.466890e+001	4.774288e-002
1.579367817803028e-005	1.479981e+001	6.000000e+000	1.466884e+001	4.774511e-002
1.579646510842334e-005	1.479974e+001	6.000000e+000	1.466877e+001	4.774889e-002
1.580090544251161e-005	1.479962e+001	6.000000e+000	1.466865e+001	4.775360e-002
1.580628845859050e-005	1.479948e+001	6.000000e+000	1.466851e+001	4.776008e-002
1.581429672762452e-005	1.479927e+001	6.000000e+000	1.466830e+001	4.776919e-002
1.582554393329046e-005	1.479898e+001	6.000000e+000	1.466801e+001	4.778236e-002
1.584139197663773e-005	1.479856e+001	6.000000e+000	1.466760e+001	4.780068e-002
1.586479545550266e-005	1.479795e+001	6.000000e+000	1.466699e+001	4.782791e-002
1.589811231638219e-005	1.479708e+001	6.000000e+000	1.466613e+001	4.786655e-002
1.594705518398725e-005	1.479579e+001	6.000000e+000	1.466486e+001	4.792206e-002
1.594805518398759e-005	1.479577e+001	6.000000e+000	1.466483e+001	4.792380e-002
1.595005518398827e-005	1.479572e+001	6.000000e+000	1.466478e+001	4.792711e-002
1.595405518398964e-005	1.479561e+001	6.000000e+000	1.466468e+001	4.793148e-002
1.595824509415672e-005	1.479550e+001	6.000000e+000	1.466457e+001	4.793645e-002
1.596662491449175e-005	1.479528e+001	6.000000e+000	1.466435e+001	4.794605e-002
1.598107309299171e-005	1.479490e+001	6.000000e+000	1.466397e+001	4.796236e-002
1.598207309299205e-005	1.479488e+001	6.000000e+000	1.466395e+001	4.796373e-002
1.598407309299273e-005	1.479482e+001	6.000000e+000	1.466390e+001	4.796644e-002
1.598807309299410e-005	1.479472e+001	6.000000e+000	1.466379e+001	4.797096e-002
1.599357021568604e-005	1.479458e+001	6.000000e+000	1.466365e+001	4.797717e-002
1.599457021568638e-005	1.479455e+001	6.000000e+000	1.466362e+001	4.797839e-002
1.599657021568706e-005	1.479450e+001	6.000000e+000	1.466357e+001	4.798079e-002
1.599757021568740e-005	1.479447e+001	6.000000e+000	1.466355e+001	4.798207e-002
1.599799999999884e-005	1.479446e+001	6.000000e+000	1.466354e+001	4.798260e-002
1.599885956862172e-005	1.479444e+001	6.000000e+000	1.466351e+001	4.798353e-002
1.599899999999918e-005	1.479443e+001	6.000000e+000	1.466351e+001	4.798369e-002
1.599928086275411e-005	1.479443e+001	6.000000e+000	1.466350e+001	4.798399e-002
1.599943827448967e-005	1.479442e+001	6.000000e+000	1.466350e+001	4.798416e-002
1.599968517652841e-005	1.479442e+001	6.000000e+000	1.466349e+001	4.798446e-002
1.599999999999952e-005	1.479441e+001	6.000000e+000	1.466348e+001	4.798508e-002
1.600001422964563e-005	1.479441e+001	6.000000e+000	1.466348e+001	4.798503e-002
1.600004268893784e-005	1.479441e+001	6.000000e+000	1.466348e+001	4.798490e-002
1.600008587690060e-005	1.479440e+001	6.000000e+000	1.466348e+001	4.798500e-002
1.600013479668462e-005	1.479440e+001	6.000000e+000	1.466348e+001	4.798516e-002
1.600019791496519e-005	1.479440e+001	6.000000e+000	1.466348e+001	4.798543e-002
1.600026414112169e-005	1.479440e+001	6.000000e+000	1.466348e+001	4.798575e-002
1.600036279439301e-005	1.479440e+001	6.000000e+000	1.466347e+001	4.798626e-002
1.600049868843729e-005	1.479439e+001	6.000000e+000	1.466347e+001	4.798694e-002
1.600072821191130e-005	1.479439e+001	6.000000e+000	1.466346e+001	4.798800e-002
1.600099999999986e-005	1.479438e+001	6.000000e+000	1.466346e+001	4.798912e-002
1.600102717880855e-005	1.479438e+001	6.000000e+000	1.466346e+001	4.798921e-002
1.600108153642591e-005	1.479438e+001	6.000000e+000	1.466346e+001	4.798933e-002
1.600119025166151e-005	1.479438e+001	6.000000e+000	1.466345e+001	4.798945e-002
