time	V(vc)	V(vdd)	V(vo)	V(vsw)
3.622986290398311e-006	2.385377e+001	6.000000e+000	2.382994e+001	5.593321e-003
4.086986290396943e-006	2.385156e+001	6.000000e+000	2.382773e+001	6.193631e-003
4.550986290395576e-006	2.384935e+001	6.000000e+000	2.382553e+001	6.793148e-003
5.014986290394208e-006	2.384714e+001	6.000000e+000	2.382332e+001	7.391836e-003
5.478986290392840e-006	2.384493e+001	6.000000e+000	2.382111e+001	7.989676e-003
5.942986290391472e-006	2.384272e+001	6.000000e+000	2.381890e+001	8.586656e-003
6.406986290390104e-006	2.384051e+001	6.000000e+000	2.381669e+001	9.182774e-003
6.870986290388736e-006	2.383830e+001	6.000000e+000	2.381448e+001	9.778023e-003
7.334986290387369e-006	2.383609e+001	6.000000e+000	2.381228e+001	1.037240e-002
7.798986290386001e-006	2.383388e+001	6.000000e+000	2.381007e+001	1.096591e-002
8.262986290384633e-006	2.383167e+001	6.000000e+000	2.380786e+001	1.155855e-002
8.726986290383265e-006	2.382946e+001	6.000000e+000	2.380565e+001	1.215032e-002
9.190986290381897e-006	2.382725e+001	6.000000e+000	2.380345e+001	1.274122e-002
9.654986290380530e-006	2.382504e+001	6.000000e+000	2.380124e+001	1.333125e-002
1.011898629037916e-005	2.382283e+001	6.000000e+000	2.379903e+001	1.392041e-002
1.058298629037779e-005	2.382063e+001	6.000000e+000	2.379683e+001	1.450871e-002
1.104698629037643e-005	2.381842e+001	6.000000e+000	2.379462e+001	1.509613e-002
1.197498629037369e-005	2.381400e+001	6.000000e+000	2.379021e+001	1.626839e-002
1.290298629037096e-005	2.380959e+001	6.000000e+000	2.378580e+001	1.743720e-002
1.383098629036822e-005	2.380517e+001	6.000000e+000	2.378139e+001	1.860257e-002
1.475898629036548e-005	2.380076e+001	6.000000e+000	2.377698e+001	1.976450e-002
1.522298629036412e-005	2.379855e+001	6.000000e+000	2.377478e+001	2.034425e-002
1.553599999999655e-005	2.379706e+001	6.000000e+000	2.377329e+001	2.073507e-002
1.553699999999603e-005	2.379706e+001	6.000000e+000	2.377328e+001	2.073627e-002
1.553899999999497e-005	2.379705e+001	6.000000e+000	2.377328e+001	2.073869e-002
1.554299999999287e-005	2.379703e+001	6.000000e+000	2.377326e+001	2.074370e-002
1.554665800782007e-005	2.379701e+001	6.000000e+000	2.377324e+001	2.074825e-002
1.555397402346753e-005	2.379698e+001	6.000000e+000	2.377320e+001	2.075739e-002
1.562186661446807e-005	2.379666e+001	6.000000e+000	2.377288e+001	2.084204e-002
1.588937531930151e-005	2.379538e+001	6.000000e+000	2.377161e+001	2.117543e-002
1.594561750272588e-005	2.379512e+001	6.000000e+000	2.377135e+001	2.124553e-002
1.594861750272431e-005	2.379510e+001	6.000000e+000	2.377133e+001	2.124922e-002
1.595261750272220e-005	2.379508e+001	6.000000e+000	2.377131e+001	2.125421e-002
1.597113878513967e-005	2.379499e+001	6.000000e+000	2.377122e+001	2.127727e-002
1.597530495677652e-005	2.379498e+001	6.000000e+000	2.377120e+001	2.128246e-002
1.598363730005020e-005	2.379494e+001	6.000000e+000	2.377116e+001	2.129283e-002
1.598663730004862e-005	2.379492e+001	6.000000e+000	2.377115e+001	2.129658e-002
1.599063730004652e-005	2.379490e+001	6.000000e+000	2.377113e+001	2.130156e-002
1.599199999999940e-005	2.379490e+001	6.000000e+000	2.377112e+001	2.130326e-002
1.599472539990515e-005	2.379488e+001	6.000000e+000	2.377111e+001	2.130665e-002
1.599772539990357e-005	2.379487e+001	6.000000e+000	2.377110e+001	2.131039e-002
1.599872539990305e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131163e-002
1.599945079980986e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131253e-002
1.599999999999519e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131320e-002
1.600000747512681e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131322e-002
1.600002242538312e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131325e-002
1.600005232590268e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131331e-002
1.600010558854698e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131346e-002
1.600016464154558e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131369e-002
1.600022404792817e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131396e-002
1.600030539907621e-005	2.379486e+001	6.000000e+000	2.377109e+001	2.131438e-002
1.600041203648345e-005	2.379486e+001	6.000000e+000	2.377108e+001	2.131494e-002
1.600060598720005e-005	2.379486e+001	6.000000e+000	2.377108e+001	2.131588e-002
1.600099388864018e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131759e-002
1.600099999999466e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131762e-002
1.600101222270361e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131766e-002
1.600103666812153e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131774e-002
1.600108555895735e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131785e-002
1.600118334062900e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131795e-002
1.600127954422270e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131795e-002
1.600141622843526e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131788e-002
1.600159069223978e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131782e-002
1.600193961985574e-005	2.379485e+001	6.000000e+000	2.377108e+001	2.131791e-002
1.600247073040712e-005	2.379485e+001	6.000000e+000	2.377107e+001	2.131830e-002
1.600295440434135e-005	2.379484e+001	6.000000e+000	2.377107e+001	2.131881e-002
1.600369873841490e-005	2.379484e+001	6.000000e+000	2.377107e+001	2.131968e-002
1.600472694461563e-005	2.379483e+001	6.000000e+000	2.377106e+001	2.132090e-002
1.600678335701711e-005	2.379482e+001	6.000000e+000	2.377105e+001	2.132336e-002
1.601089618182700e-005	2.379481e+001	6.000000e+000	2.377103e+001	2.132829e-002
1.601912183143983e-005	2.379477e+001	6.000000e+000	2.377100e+001	2.133814e-002
1.602324675011035e-005	2.379475e+001	6.000000e+000	2.377098e+001	2.134299e-002
1.602570961230926e-005	2.379473e+001	6.000000e+000	2.377096e+001	2.134569e-002
1.602718087245075e-005	2.379473e+001	6.000000e+000	2.377096e+001	2.134704e-002
1.602839467765987e-005	2.379472e+001	6.000000e+000	2.377095e+001	2.134780e-002
1.602935572691394e-005	2.379472e+001	6.000000e+000	2.377095e+001	2.134800e-002
1.603019439972570e-005	2.379471e+001	6.000000e+000	2.377094e+001	2.134771e-002
1.603096467116261e-005	2.379471e+001	6.000000e+000	2.377094e+001	2.134690e-002
1.603173896212728e-005	2.379471e+001	6.000000e+000	2.377094e+001	2.134533e-002
1.603263573488750e-005	2.379470e+001	6.000000e+000	2.377093e+001	2.134238e-002
1.603347242654790e-005	2.379470e+001	6.000000e+000	2.377093e+001	2.133821e-002
1.603462557204366e-005	2.379469e+001	6.000000e+000	2.377092e+001	2.132988e-002
1.603597494229114e-005	2.379469e+001	6.000000e+000	2.377092e+001	2.131637e-002
1.603799622576507e-005	2.379468e+001	6.000000e+000	2.377091e+001	2.129012e-002
1.604111443116035e-005	2.379466e+001	6.000000e+000	2.377089e+001	2.124380e-002
1.604430794333728e-005	2.379465e+001	6.000000e+000	2.377088e+001	2.119548e-002
1.604697738603889e-005	2.379463e+001	6.000000e+000	2.377086e+001	2.115623e-002
1.604966410458097e-005	2.379462e+001	6.000000e+000	2.377085e+001	2.108238e-002
1.605115084955117e-005	2.379461e+001	6.000000e+000	2.377084e+001	2.091858e-002
1.605276820892260e-005	2.379461e+001	6.000000e+000	2.377083e+001	2.053636e-002
1.605415756642664e-005	2.379460e+001	6.000000e+000	2.377083e+001	2.012405e-002
1.605564578874980e-005	2.379459e+001	6.000000e+000	2.377082e+001	1.970158e-002
1.605765434013751e-005	2.379458e+001	6.000000e+000	2.377081e+001	1.920679e-002
1.606071439974599e-005	2.379457e+001	6.000000e+000	2.377080e+001	1.857358e-002
1.606383636860304e-005	2.379455e+001	6.000000e+000	2.377078e+001	1.802576e-002
1.606895874092101e-005	2.379453e+001	6.000000e+000	2.377076e+001	1.723414e-002
1.607607601702976e-005	2.379450e+001	6.000000e+000	2.377072e+001	1.625972e-002
1.608723440552073e-005	2.379444e+001	6.000000e+000	2.377067e+001	1.499987e-002
1.610822905478287e-005	2.379434e+001	6.000000e+000	2.377057e+001	1.331817e-002
1.613241540143751e-005	2.379423e+001	6.000000e+000	2.377046e+001	1.223506e-002
1.614422052972908e-005	2.379417e+001	6.000000e+000	2.377040e+001	1.212668e-002
1.615175140411845e-005	2.379414e+001	6.000000e+000	2.377037e+001	1.229120e-002
1.615649718478968e-005	2.379411e+001	6.000000e+000	2.377034e+001	1.249758e-002
1.616098207416622e-005	2.379409e+001	6.000000e+000	2.377032e+001	1.275437e-002
1.616411267097578e-005	2.379408e+001	6.000000e+000	2.377031e+001	1.295661e-002
1.616582032876873e-005	2.379407e+001	6.000000e+000	2.377030e+001	1.307293e-002
1.616838536051130e-005	2.379406e+001	6.000000e+000	2.377029e+001	1.325063e-002
1.617068738863497e-005	2.379405e+001	6.000000e+000	2.377028e+001	1.341109e-002
1.617336813323350e-005	2.379403e+001	6.000000e+000	2.377026e+001	1.359850e-002
1.617641823497412e-005	2.379402e+001	6.000000e+000	2.377025e+001	1.381200e-002
1.617983855720789e-005	2.379400e+001	6.000000e+000	2.377023e+001	1.405142e-002
1.618397012894540e-005	2.379398e+001	6.000000e+000	2.377021e+001	1.434052e-002
1.618837459825551e-005	2.379396e+001	6.000000e+000	2.377019e+001	1.464866e-002
1.619463916253949e-005	2.379393e+001	6.000000e+000	2.377016e+001	1.508731e-002
1.620062012179513e-005	2.379390e+001	6.000000e+000	2.377013e+001	1.550802e-002
1.621140273122546e-005	2.379385e+001	6.000000e+000	2.377008e+001	1.627480e-002
1.622204520476678e-005	2.379380e+001	6.000000e+000	2.377003e+001	1.705748e-002
1.624333015184942e-005	2.379370e+001	6.000000e+000	2.376993e+001	1.875235e-002
1.626731011607208e-005	2.379359e+001	6.000000e+000	2.376982e+001	2.110840e-002
1.630087767533206e-005	2.379343e+001	6.000000e+000	2.376966e+001	2.586141e-002
1.632403256759951e-005	2.379332e+001	6.000000e+000	2.376955e+001	3.140716e-002
1.633945439501183e-005	2.379324e+001	6.000000e+000	2.376948e+001	3.813621e-002
1.634993072318486e-005	2.379319e+001	6.000000e+000	2.376943e+001	4.641673e-002
1.635765205980355e-005	2.379316e+001	6.000000e+000	2.376940e+001	5.729764e-002
1.636357031939428e-005	2.379313e+001	6.000000e+000	2.376938e+001	7.207484e-002
1.636817547739228e-005	2.379311e+001	6.000000e+000	2.376937e+001	9.252274e-002
1.637180582346465e-005	2.379309e+001	6.000000e+000	2.376938e+001	1.215419e-001
1.637481585808204e-005	2.379308e+001	6.000000e+000	2.376941e+001	1.668009e-001
1.637861997825368e-005	2.379306e+001	6.000000e+000	2.376945e+001	2.569609e-001
1.638224403349708e-005	2.379304e+001	6.000000e+000	2.376945e+001	3.619624e-001
1.638606065470366e-005	2.379302e+001	6.000000e+000	2.376943e+001	4.770544e-001
1.639026762755708e-005	2.379300e+001	6.000000e+000	2.376941e+001	6.033230e-001
1.639868157326391e-005	2.379296e+001	6.000000e+000	2.376937e+001	8.559294e-001
1.641227193737577e-005	2.379290e+001	6.000000e+000	2.376931e+001	1.263591e+000
1.643945266560642e-005	2.379277e+001	6.000000e+000	2.376918e+001	2.078094e+000
1.648096103821356e-005	2.379258e+001	6.000000e+000	2.376901e+001	3.336246e+000
1.649126354844044e-005	2.379253e+001	6.000000e+000	2.376895e+001	3.663771e+000
1.649381089573188e-005	2.379251e+001	6.000000e+000	2.376890e+001	3.741111e+000
1.649497931274779e-005	2.379251e+001	6.000000e+000	2.376890e+001	3.771473e+000
1.649547526550582e-005	2.379251e+001	6.000000e+000	2.376890e+001	3.784283e+000
1.649640278321429e-005	2.379250e+001	6.000000e+000	2.376892e+001	3.810591e+000
1.649730560610713e-005	2.379250e+001	6.000000e+000	2.376892e+001	3.837603e+000
1.649820289117282e-005	2.379249e+001	6.000000e+000	2.376892e+001	3.865604e+000
1.649919263958105e-005	2.379249e+001	6.000000e+000	2.376893e+001	3.897769e+000
1.650013930852567e-005	2.379248e+001	6.000000e+000	2.376893e+001	3.930011e+000
1.650111354908890e-005	2.379248e+001	6.000000e+000	2.376894e+001	3.964880e+000
1.650205311680419e-005	2.379247e+001	6.000000e+000	2.376895e+001	4.000194e+000
1.650301998297465e-005	2.379247e+001	6.000000e+000	2.376896e+001	4.038322e+000
1.650396584073482e-005	2.379247e+001	6.000000e+000	2.376896e+001	4.077436e+000
1.650493055185137e-005	2.379246e+001	6.000000e+000	2.376897e+001	4.119261e+000
1.650587922569918e-005	2.379246e+001	6.000000e+000	2.376898e+001	4.162363e+000
1.650684109445744e-005	2.379245e+001	6.000000e+000	2.376899e+001	4.208143e+000
1.650779173585637e-005	2.379245e+001	6.000000e+000	2.376900e+001	4.255521e+000
1.650875188618367e-005	2.379244e+001	6.000000e+000	2.376901e+001	4.305608e+000
1.650970404198926e-005	2.379244e+001	6.000000e+000	2.376902e+001	4.357576e+000
1.651066293699433e-005	2.379243e+001	6.000000e+000	2.376904e+001	4.412311e+000
1.651161613299562e-005	2.379243e+001	6.000000e+000	2.376905e+001	4.469193e+000
1.651257412881024e-005	2.379243e+001	6.000000e+000	2.376906e+001	4.528933e+000
1.651352807060386e-005	2.379242e+001	6.000000e+000	2.376908e+001	4.591165e+000
1.651461289040729e-005	2.379242e+001	6.000000e+000	2.376909e+001	4.665404e+000
1.651584584298066e-005	2.379241e+001	6.000000e+000	2.376911e+001	4.754365e+000
1.651729654315176e-005	2.379240e+001	6.000000e+000	2.376914e+001	4.865543e+000
1.651898017120124e-005	2.379240e+001	6.000000e+000	2.376917e+001	5.003928e+000
1.652103039354036e-005	2.379239e+001	6.000000e+000	2.376921e+001	5.186965e+000
1.652355901044650e-005	2.379238e+001	6.000000e+000	2.376927e+001	5.436643e+000
1.652688312576284e-005	2.379236e+001	6.000000e+000	2.376936e+001	5.809684e+000
1.653145371653675e-005	2.379234e+001	6.000000e+000	2.376951e+001	6.419464e+000
1.653847431023342e-005	2.379231e+001	6.000000e+000	2.376980e+001	7.629295e+000
1.655086650552418e-005	2.379225e+001	6.000000e+000	2.377059e+001	1.063147e+001
1.656802463987500e-005	2.379218e+001	6.000000e+000	2.377263e+001	1.627200e+001
1.657642458958303e-005	2.379215e+001	6.000000e+000	2.377483e+001	1.978601e+001
1.658093993062854e-005	2.379213e+001	6.000000e+000	2.377755e+001	2.199410e+001
1.658343760478631e-005	2.379213e+001	6.000000e+000	2.378092e+001	2.330082e+001
1.658471940418904e-005	2.379212e+001	6.000000e+000	2.379060e+001	2.398404e+001
1.658527301082874e-005	2.379212e+001	6.000000e+000	2.381749e+001	2.426148e+001
1.658556851364540e-005	2.379213e+001	6.000000e+000	2.385104e+001	2.437916e+001
1.658587516230325e-005	2.379213e+001	6.000000e+000	2.388836e+001	2.446285e+001
1.658620411962297e-005	2.379214e+001	6.000000e+000	2.391644e+001	2.452365e+001
1.658660627911618e-005	2.379215e+001	6.000000e+000	2.394021e+001	2.457413e+001
1.658717866098725e-005	2.379217e+001	6.000000e+000	2.396202e+001	2.462140e+001
1.658798508005072e-005	2.379220e+001	6.000000e+000	2.397858e+001	2.466107e+001
1.658906359909562e-005	2.379224e+001	6.000000e+000	2.398700e+001	2.468863e+001
1.659014505353551e-005	2.379228e+001	6.000000e+000	2.398907e+001	2.470280e+001
